Category,Fuel,Euro Standard,Pollutant,percent_wt_NMVOC
# toluene
Passenger Cars,Petrol,Conventional,toluene,12.84
Passenger Cars,Petrol,Euro 1,toluene,10.98
Passenger Cars,Petrol,Euro 2,toluene,10.98
Passenger Cars,Petrol,Euro 3,toluene,10.98
Passenger Cars,Petrol,Euro 4,toluene,10.98
Passenger Cars,Petrol,Euro 5,toluene,10.98
Passenger Cars,Petrol,Euro 6 up to 2016,toluene,10.98
Passenger Cars,Petrol,Euro 6 2017-2019,toluene,10.98
Passenger Cars,Petrol,Euro 6 2020+,toluene,10.98
Light Commercial Vehicles,Petrol,Conventional,toluene,12.84
Light Commercial Vehicles,Petrol,Euro 1,toluene,10.98
Light Commercial Vehicles,Petrol,Euro 2,toluene,10.98
Light Commercial Vehicles,Petrol,Euro 3,toluene,10.98
Light Commercial Vehicles,Petrol,Euro 4,toluene,10.98
Light Commercial Vehicles,Petrol,Euro 5,toluene,10.98
Light Commercial Vehicles,Petrol,Euro 6 up to 2016,toluene,10.98
Light Commercial Vehicles,Petrol,Euro 6 2017-2019,toluene,10.98
Light Commercial Vehicles,Petrol,Euro 6 2020+,toluene,10.98
Passenger Cars,Diesel,Conventional,toluene,0.69
Passenger Cars,Diesel,Euro 1,toluene,0.69
Passenger Cars,Diesel,Euro 2,toluene,0.69
Passenger Cars,Diesel,Euro 3,toluene,0.69
Passenger Cars,Diesel,Euro 4,toluene,0.69
Passenger Cars,Diesel,Euro 5,toluene,0.69
Passenger Cars,Diesel,Euro 6 up to 2016,toluene,0.69
Passenger Cars,Diesel,Euro 6 2017-2019,toluene,0.69
Passenger Cars,Diesel,Euro 6 2020+,toluene,0.69
Light Commercial Vehicles,Diesel,Conventional,toluene,0.69
Light Commercial Vehicles,Diesel,Euro 1,toluene,0.69
Light Commercial Vehicles,Diesel,Euro 2,toluene,0.69
Light Commercial Vehicles,Diesel,Euro 3,toluene,0.69
Light Commercial Vehicles,Diesel,Euro 4,toluene,0.69
Light Commercial Vehicles,Diesel,Euro 5,toluene,0.69
Light Commercial Vehicles,Diesel,Euro 6 up to 2016,toluene,0.69
Light Commercial Vehicles,Diesel,Euro 6 2017-2019,toluene,0.69
Light Commercial Vehicles,Diesel,Euro 6 2020+,toluene,0.69
Passenger Cars,LPG Bifuel ~ LPG,Conventional,toluene,1.22
Passenger Cars,LPG Bifuel ~ LPG,Euro 1,toluene,1.22
Passenger Cars,LPG Bifuel ~ LPG,Euro 2,toluene,1.22
Passenger Cars,LPG Bifuel ~ LPG,Euro 3,toluene,1.22
Passenger Cars,LPG Bifuel ~ LPG,Euro 4,toluene,1.22
Passenger Cars,LPG Bifuel ~ LPG,Euro 5,toluene,1.22
Passenger Cars,LPG Bifuel ~ LPG,Euro 6 up to 2016,toluene,1.22
Passenger Cars,LPG Bifuel ~ LPG,Euro 6 2017-2019,toluene,1.22
Passenger Cars,LPG Bifuel ~ LPG,Euro 6 2020+,toluene,1.22
