Roadway,Pollutant,Category,EF,unit
via01,CO,Light Vehicles,1.688481,g/vehicle
via01,NOx,Light Vehicles,1.104357,g/vehicle
via01,PM Exhaust,Light Vehicles,0.05595565,g/vehicle
via01,VOC,Light Vehicles,0.2237746,g/vehicle
via01,FC,Light Vehicles,4.633571,MJ/vehicle
via01,CH4,Light Vehicles,0.131081,g/vehicle
via01,CO,Heavy Vehicles,1.618176,g/vehicle
via01,NOx,Heavy Vehicles,6.500437,g/vehicle
via01,VOC,Heavy Vehicles,0.07105865,g/vehicle
via01,FC,Heavy Vehicles,17.89865,MJ/vehicle
via01,CH4,Heavy Vehicles,3.624637,g/vehicle
via01,NH3,Heavy Vehicles,0.0117714,g/vehicle
via01,N2O,Heavy Vehicles,0.05282072,g/vehicle
via01,PM Exhaust,Heavy Vehicles,0.06351606,g/vehicle
via01,benzo(a)pyrene,Light Vehicles,9.73971e-07,g/vehicle
via01,PCDD,Light Vehicles,1.02009e-11,g/vehicle
via01,PCDF,Light Vehicles,1.518883e-11,g/vehicle
via01,PM Brakes,Light Vehicles,0.003164696,g/vehicle
via01,PM Road paved,Light Vehicles,0.00979431,g/vehicle
via01,PM Tyres,Light Vehicles,0.009012188,g/vehicle
via01,CO2 lubricant,Light Vehicles,0.1782046,g/vehicle
via01,NH3 lightweight,Light Vehicles,0.03571377,g/vehicle
via01,N2O lightweight,Light Vehicles,0.01064967,g/vehicle
via01,benzo(a)pyrene,Heavy Vehicles,2.09011e-06,g/vehicle
via01,PCDD,Heavy Vehicles,4.105538e-11,g/vehicle
via01,PCDF,Heavy Vehicles,6.239639e-11,g/vehicle
via01,PM Brakes,Heavy Vehicles,0.03189628,g/vehicle
via01,PM Road paved,Heavy Vehicles,0.08824908,g/vehicle
via01,PM Tyres,Heavy Vehicles,0.06084129,g/vehicle
via01,CO2 lubricant,Heavy Vehicles,0.3744783,g/vehicle
via01,NH3 lightweight,Heavy Vehicles,0,g/vehicle
via01,N2O lightweight,Heavy Vehicles,0,g/vehicle
via01,Pb,Light Vehicles,8.367497e-08,g/vehicle
via01,As,Light Vehicles,1.611488e-08,g/vehicle
via01,Cd,Light Vehicles,9.607722e-09,g/vehicle
via01,Ni,Light Vehicles,8.493936e-08,g/vehicle
via01,SO2,Light Vehicles,0.0007188476,g/vehicle
via01,CO2 fuel,Light Vehicles,297.7358,g/vehicle
via01,Pb,Heavy Vehicles,1.962571e-07,g/vehicle
via01,As,Heavy Vehicles,3.925142e-08,g/vehicle
via01,Cd,Heavy Vehicles,1.962571e-08,g/vehicle
via01,Ni,Heavy Vehicles,7.850284e-08,g/vehicle
via01,SO2,Heavy Vehicles,0.002355085,g/vehicle
via01,CO2 fuel,Heavy Vehicles,1234.065,g/vehicle
via01,toluene,Light Vehicles,0.001819048,g/vehicle
via01,mp-xylene,Light Vehicles,0.0009492977,g/vehicle
via01,o-xylene,Light Vehicles,0.0003978129,g/vehicle
via01,benzene,Light Vehicles,0.001226509,g/vehicle
via01,toluene,Heavy Vehicles,2.515359e-05,g/vehicle
via01,mp-xylene,Heavy Vehicles,0.002465052,g/vehicle
via01,o-xylene,Heavy Vehicles,0.001006144,g/vehicle
via01,benzene,Heavy Vehicles,0.0001760751,g/vehicle
via02,CO,Light Vehicles,1.688481,g/vehicle
via02,NOx,Light Vehicles,1.104357,g/vehicle
via02,PM Exhaust,Light Vehicles,0.05595565,g/vehicle
via02,VOC,Light Vehicles,0.2237746,g/vehicle
via02,FC,Light Vehicles,4.633571,MJ/vehicle
via02,CH4,Light Vehicles,0.131081,g/vehicle
via02,CO,Heavy Vehicles,0.3795738,g/vehicle
via02,NOx,Heavy Vehicles,1.504225,g/vehicle
via02,VOC,Heavy Vehicles,0.02207284,g/vehicle
via02,FC,Heavy Vehicles,3.581132,MJ/vehicle
via02,CH4,Heavy Vehicles,3.624637,g/vehicle
via02,NH3,Heavy Vehicles,0.0117714,g/vehicle
via02,N2O,Heavy Vehicles,0.05282072,g/vehicle
via02,PM Exhaust,Heavy Vehicles,0.01790284,g/vehicle
via02,CO,Heavy Vehicles,2.833348,g/vehicle
via02,NOx,Heavy Vehicles,12.58282,g/vehicle
via02,VOC,Heavy Vehicles,0.1328442,g/vehicle
