Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via01,1,0,10,As,1.611488e-08,4.47635555555556e-11,0,3.925142e-08,0,4.47635555555556e-11
via01,1,1,15,As,1.611488e-08,6.71453333333333e-11,0,3.925142e-08,0,6.71453333333333e-11
via01,1,2,5,As,1.611488e-08,2.23817777777778e-11,1,3.925142e-08,1.09031722222222e-11,3.328495e-11
via01,1,3,7,As,1.611488e-08,3.13344888888889e-11,2,3.925142e-08,2.18063444444444e-11,5.31408333333333e-11
via01,1,4,8,As,1.611488e-08,3.58108444444444e-11,3,3.925142e-08,3.27095166666667e-11,6.85203611111111e-11
via01,1,5,11,As,1.611488e-08,4.92399111111111e-11,8,3.925142e-08,8.72253777777778e-11,1.36465288888889e-10
via01,1,6,25,As,1.611488e-08,1.11908888888889e-10,9,3.925142e-08,9.812855e-11,2.10037438888889e-10
via01,1,7,100,As,1.611488e-08,4.47635555555556e-10,15,3.925142e-08,1.63547583333333e-10,6.11183138888889e-10
via01,1,8,143,As,1.611488e-08,6.40118844444444e-10,14,3.925142e-08,1.52644411111111e-10,7.92763255555556e-10
via01,1,9,185,As,1.611488e-08,8.28125777777778e-10,16,3.925142e-08,1.74450755555556e-10,1.00257653333333e-09
via01,1,10,198,As,1.611488e-08,8.863184e-10,22,3.925142e-08,2.39869788888889e-10,1.12618818888889e-09
via01,1,11,162,As,1.611488e-08,7.251696e-10,12,3.925142e-08,1.30838066666667e-10,8.56007666666667e-10
via01,1,12,149,As,1.611488e-08,6.66976977777778e-10,9,3.925142e-08,9.812855e-11,7.65105527777778e-10
via01,1,13,122,As,1.611488e-08,5.46115377777778e-10,7,3.925142e-08,7.63222055555556e-11,6.22437583333333e-10
via01,1,14,96,As,1.611488e-08,4.29730133333333e-10,10,3.925142e-08,1.09031722222222e-10,5.38761855555556e-10
via01,1,15,85,As,1.611488e-08,3.80490222222222e-10,12,3.925142e-08,1.30838066666667e-10,5.11328288888889e-10
via01,1,16,91,As,1.611488e-08,4.07348355555556e-10,11,3.925142e-08,1.19934894444444e-10,5.2728325e-10
via01,1,17,156,As,1.611488e-08,6.98311466666667e-10,15,3.925142e-08,1.63547583333333e-10,8.6185905e-10
via01,1,18,205,As,1.611488e-08,9.17652888888889e-10,18,3.925142e-08,1.962571e-10,1.11390998888889e-09
via01,1,19,189,As,1.611488e-08,8.460312e-10,21,3.925142e-08,2.28966616666667e-10,1.07499781666667e-09
via01,1,20,94,As,1.611488e-08,4.20777422222222e-10,4,3.925142e-08,4.36126888888889e-11,4.64390111111111e-10
via01,1,21,26,As,1.611488e-08,1.16385244444444e-10,3,3.925142e-08,3.27095166666667e-11,1.49094761111111e-10
via01,1,22,18,As,1.611488e-08,8.05744e-11,2,3.925142e-08,2.18063444444444e-11,1.02380744444444e-10
via01,1,23,11,As,1.611488e-08,4.92399111111111e-11,1,3.925142e-08,1.09031722222222e-11,6.01430833333333e-11
