Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via01,1,0,0,CH4,3.624637,0
via01,1,1,0,CH4,3.624637,0
via01,1,2,1,CH4,3.624637,0.00100684361111111
via01,1,3,2,CH4,3.624637,0.00201368722222222
via01,1,4,3,CH4,3.624637,0.00302053083333333
via01,1,5,8,CH4,3.624637,0.00805474888888889
via01,1,6,9,CH4,3.624637,0.0090615925
via01,1,7,15,CH4,3.624637,0.0151026541666667
via01,1,8,14,CH4,3.624637,0.0140958105555556
via01,1,9,16,CH4,3.624637,0.0161094977777778
via01,1,10,22,CH4,3.624637,0.0221505594444444
via01,1,11,12,CH4,3.624637,0.0120821233333333
via01,1,12,9,CH4,3.624637,0.0090615925
via01,1,13,7,CH4,3.624637,0.00704790527777778
via01,1,14,10,CH4,3.624637,0.0100684361111111
via01,1,15,12,CH4,3.624637,0.0120821233333333
via01,1,16,11,CH4,3.624637,0.0110752797222222
via01,1,17,15,CH4,3.624637,0.0151026541666667
via01,1,18,18,CH4,3.624637,0.018123185
via01,1,19,21,CH4,3.624637,0.0211437158333333
via01,1,20,4,CH4,3.624637,0.00402737444444444
via01,1,21,3,CH4,3.624637,0.00302053083333333
via01,1,22,2,CH4,3.624637,0.00201368722222222
via01,1,23,1,CH4,3.624637,0.00100684361111111
