Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via01,1,0,10,CO2 fuel,297.7358,0.827043888888889,0,1234.065,0,0.827043888888889
via01,1,1,15,CO2 fuel,297.7358,1.24056583333333,0,1234.065,0,1.24056583333333
via01,1,2,5,CO2 fuel,297.7358,0.413521944444444,1,1234.065,0.342795833333333,0.756317777777778
via01,1,3,7,CO2 fuel,297.7358,0.578930722222222,2,1234.065,0.685591666666667,1.26452238888889
via01,1,4,8,CO2 fuel,297.7358,0.661635111111111,3,1234.065,1.0283875,1.69002261111111
via01,1,5,11,CO2 fuel,297.7358,0.909748277777778,8,1234.065,2.74236666666667,3.65211494444444
via01,1,6,25,CO2 fuel,297.7358,2.06760972222222,9,1234.065,3.0851625,5.15277222222222
via01,1,7,100,CO2 fuel,297.7358,8.27043888888889,15,1234.065,5.1419375,13.4123763888889
via01,1,8,143,CO2 fuel,297.7358,11.8267276111111,14,1234.065,4.79914166666667,16.6258692777778
via01,1,9,185,CO2 fuel,297.7358,15.3003119444444,16,1234.065,5.48473333333333,20.7850452777778
via01,1,10,198,CO2 fuel,297.7358,16.375469,22,1234.065,7.54150833333333,23.9169773333333
via01,1,11,162,CO2 fuel,297.7358,13.398111,12,1234.065,4.11355,17.511661
via01,1,12,149,CO2 fuel,297.7358,12.3229539444444,9,1234.065,3.0851625,15.4081164444444
via01,1,13,122,CO2 fuel,297.7358,10.0899354444444,7,1234.065,2.39957083333333,12.4895062777778
via01,1,14,96,CO2 fuel,297.7358,7.93962133333333,10,1234.065,3.42795833333333,11.3675796666667
via01,1,15,85,CO2 fuel,297.7358,7.02987305555556,12,1234.065,4.11355,11.1434230555556
via01,1,16,91,CO2 fuel,297.7358,7.52609938888889,11,1234.065,3.77075416666667,11.2968535555556
via01,1,17,156,CO2 fuel,297.7358,12.9018846666667,15,1234.065,5.1419375,18.0438221666667
via01,1,18,205,CO2 fuel,297.7358,16.9543997222222,18,1234.065,6.170325,23.1247247222222
via01,1,19,189,CO2 fuel,297.7358,15.6311295,21,1234.065,7.1987125,22.829842
via01,1,20,94,CO2 fuel,297.7358,7.77421255555556,4,1234.065,1.37118333333333,9.14539588888889
via01,1,21,26,CO2 fuel,297.7358,2.15031411111111,3,1234.065,1.0283875,3.17870161111111
via01,1,22,18,CO2 fuel,297.7358,1.488679,2,1234.065,0.685591666666667,2.17427066666667
via01,1,23,11,CO2 fuel,297.7358,0.909748277777778,1,1234.065,0.342795833333333,1.25254411111111
