Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via01,1,0,0,CO2 fuel,1234.065,0
via01,1,1,0,CO2 fuel,1234.065,0
via01,1,2,1,CO2 fuel,1234.065,0.342795833333333
via01,1,3,2,CO2 fuel,1234.065,0.685591666666667
via01,1,4,3,CO2 fuel,1234.065,1.0283875
via01,1,5,8,CO2 fuel,1234.065,2.74236666666667
via01,1,6,9,CO2 fuel,1234.065,3.0851625
via01,1,7,15,CO2 fuel,1234.065,5.1419375
via01,1,8,14,CO2 fuel,1234.065,4.79914166666667
via01,1,9,16,CO2 fuel,1234.065,5.48473333333333
via01,1,10,22,CO2 fuel,1234.065,7.54150833333333
via01,1,11,12,CO2 fuel,1234.065,4.11355
via01,1,12,9,CO2 fuel,1234.065,3.0851625
via01,1,13,7,CO2 fuel,1234.065,2.39957083333333
via01,1,14,10,CO2 fuel,1234.065,3.42795833333333
via01,1,15,12,CO2 fuel,1234.065,4.11355
via01,1,16,11,CO2 fuel,1234.065,3.77075416666667
via01,1,17,15,CO2 fuel,1234.065,5.1419375
via01,1,18,18,CO2 fuel,1234.065,6.170325
via01,1,19,21,CO2 fuel,1234.065,7.1987125
via01,1,20,4,CO2 fuel,1234.065,1.37118333333333
via01,1,21,3,CO2 fuel,1234.065,1.0283875
via01,1,22,2,CO2 fuel,1234.065,0.685591666666667
via01,1,23,1,CO2 fuel,1234.065,0.342795833333333
