Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via01,1,0,10,CO2 lubricant,0.1782046,0.000495012777777778,0,0.3744783,0,0.000495012777777778
via01,1,1,15,CO2 lubricant,0.1782046,0.000742519166666667,0,0.3744783,0,0.000742519166666667
via01,1,2,5,CO2 lubricant,0.1782046,0.000247506388888889,1,0.3744783,0.00010402175,0.000351528138888889
via01,1,3,7,CO2 lubricant,0.1782046,0.000346508944444444,2,0.3744783,0.0002080435,0.000554552444444444
via01,1,4,8,CO2 lubricant,0.1782046,0.000396010222222222,3,0.3744783,0.00031206525,0.000708075472222222
via01,1,5,11,CO2 lubricant,0.1782046,0.000544514055555556,8,0.3744783,0.000832174,0.00137668805555556
via01,1,6,25,CO2 lubricant,0.1782046,0.00123753194444444,9,0.3744783,0.00093619575,0.00217372769444444
via01,1,7,100,CO2 lubricant,0.1782046,0.00495012777777778,15,0.3744783,0.00156032625,0.00651045402777778
via01,1,8,143,CO2 lubricant,0.1782046,0.00707868272222222,14,0.3744783,0.0014563045,0.00853498722222222
via01,1,9,185,CO2 lubricant,0.1782046,0.00915773638888889,16,0.3744783,0.001664348,0.0108220843888889
via01,1,10,198,CO2 lubricant,0.1782046,0.009801253,22,0.3744783,0.0022884785,0.0120897315
via01,1,11,162,CO2 lubricant,0.1782046,0.008019207,12,0.3744783,0.001248261,0.009267468
via01,1,12,149,CO2 lubricant,0.1782046,0.00737569038888889,9,0.3744783,0.00093619575,0.00831188613888889
via01,1,13,122,CO2 lubricant,0.1782046,0.00603915588888889,7,0.3744783,0.00072815225,0.00676730813888889
via01,1,14,96,CO2 lubricant,0.1782046,0.00475212266666667,10,0.3744783,0.0010402175,0.00579234016666667
via01,1,15,85,CO2 lubricant,0.1782046,0.00420760861111111,12,0.3744783,0.001248261,0.00545586961111111
via01,1,16,91,CO2 lubricant,0.1782046,0.00450461627777778,11,0.3744783,0.00114423925,0.00564885552777778
via01,1,17,156,CO2 lubricant,0.1782046,0.00772219933333333,15,0.3744783,0.00156032625,0.00928252558333333
via01,1,18,205,CO2 lubricant,0.1782046,0.0101477619444444,18,0.3744783,0.0018723915,0.0120201534444444
via01,1,19,189,CO2 lubricant,0.1782046,0.0093557415,21,0.3744783,0.00218445675,0.01154019825
via01,1,20,94,CO2 lubricant,0.1782046,0.00465312011111111,4,0.3744783,0.000416087,0.00506920711111111
via01,1,21,26,CO2 lubricant,0.1782046,0.00128703322222222,3,0.3744783,0.00031206525,0.00159909847222222
via01,1,22,18,CO2 lubricant,0.1782046,0.000891023,2,0.3744783,0.0002080435,0.0010990665
via01,1,23,11,CO2 lubricant,0.1782046,0.000544514055555556,1,0.3744783,0.00010402175,0.000648535805555556
