Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via01,1,0,10,CO2 lubricant,0.1782046,0.000495012777777778
via01,1,1,15,CO2 lubricant,0.1782046,0.000742519166666667
via01,1,2,5,CO2 lubricant,0.1782046,0.000247506388888889
via01,1,3,7,CO2 lubricant,0.1782046,0.000346508944444444
via01,1,4,8,CO2 lubricant,0.1782046,0.000396010222222222
via01,1,5,11,CO2 lubricant,0.1782046,0.000544514055555556
via01,1,6,25,CO2 lubricant,0.1782046,0.00123753194444444
via01,1,7,100,CO2 lubricant,0.1782046,0.00495012777777778
via01,1,8,143,CO2 lubricant,0.1782046,0.00707868272222222
via01,1,9,185,CO2 lubricant,0.1782046,0.00915773638888889
via01,1,10,198,CO2 lubricant,0.1782046,0.009801253
via01,1,11,162,CO2 lubricant,0.1782046,0.008019207
via01,1,12,149,CO2 lubricant,0.1782046,0.00737569038888889
via01,1,13,122,CO2 lubricant,0.1782046,0.00603915588888889
via01,1,14,96,CO2 lubricant,0.1782046,0.00475212266666667
via01,1,15,85,CO2 lubricant,0.1782046,0.00420760861111111
via01,1,16,91,CO2 lubricant,0.1782046,0.00450461627777778
via01,1,17,156,CO2 lubricant,0.1782046,0.00772219933333333
via01,1,18,205,CO2 lubricant,0.1782046,0.0101477619444444
via01,1,19,189,CO2 lubricant,0.1782046,0.0093557415
via01,1,20,94,CO2 lubricant,0.1782046,0.00465312011111111
via01,1,21,26,CO2 lubricant,0.1782046,0.00128703322222222
via01,1,22,18,CO2 lubricant,0.1782046,0.000891023
via01,1,23,11,CO2 lubricant,0.1782046,0.000544514055555556
