Roadway,Hour,Pollutant,EF
via01,0,CO2,0.827538901666667
via01,1,CO2,1.2413083525
via01,2,CO2,0.756669305916667
via01,3,CO2,1.26507694133333
via01,4,CO2,1.69073068658333
via01,5,CO2,3.6534916325
via01,6,CO2,5.15494594991666
via01,7,CO2,13.4188868429167
via01,8,CO2,16.634404265
via01,9,CO2,20.7958673621667
via01,10,CO2,23.9290670648333
via01,11,CO2,17.520928468
via01,12,CO2,15.4164283305833
via01,13,CO2,12.4962735859167
via01,14,CO2,11.3733720068334
via01,15,CO2,11.1488789251667
via01,16,CO2,11.3025024110834
via01,17,CO2,18.05310469225
via01,18,CO2,23.1367448756666
via01,19,CO2,22.84138219825
via01,20,CO2,9.150465096
via01,21,CO2,3.18030070958333
via01,22,CO2,2.17536973316667
via01,23,CO2,1.25319264691667
