Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via01,1,0,0,Cd,1.962571e-08,0
via01,1,1,0,Cd,1.962571e-08,0
via01,1,2,1,Cd,1.962571e-08,5.45158611111111e-12
via01,1,3,2,Cd,1.962571e-08,1.09031722222222e-11
via01,1,4,3,Cd,1.962571e-08,1.63547583333333e-11
via01,1,5,8,Cd,1.962571e-08,4.36126888888889e-11
via01,1,6,9,Cd,1.962571e-08,4.9064275e-11
via01,1,7,15,Cd,1.962571e-08,8.17737916666667e-11
via01,1,8,14,Cd,1.962571e-08,7.63222055555556e-11
via01,1,9,16,Cd,1.962571e-08,8.72253777777778e-11
via01,1,10,22,Cd,1.962571e-08,1.19934894444444e-10
via01,1,11,12,Cd,1.962571e-08,6.54190333333333e-11
via01,1,12,9,Cd,1.962571e-08,4.9064275e-11
via01,1,13,7,Cd,1.962571e-08,3.81611027777778e-11
via01,1,14,10,Cd,1.962571e-08,5.45158611111111e-11
via01,1,15,12,Cd,1.962571e-08,6.54190333333333e-11
via01,1,16,11,Cd,1.962571e-08,5.99674472222222e-11
via01,1,17,15,Cd,1.962571e-08,8.17737916666667e-11
via01,1,18,18,Cd,1.962571e-08,9.812855e-11
via01,1,19,21,Cd,1.962571e-08,1.14483308333333e-10
via01,1,20,4,Cd,1.962571e-08,2.18063444444444e-11
via01,1,21,3,Cd,1.962571e-08,1.63547583333333e-11
via01,1,22,2,Cd,1.962571e-08,1.09031722222222e-11
via01,1,23,1,Cd,1.962571e-08,5.45158611111111e-12
