Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via01,1,0,10,Cd,9.607722e-09,2.66881166666667e-11
via01,1,1,15,Cd,9.607722e-09,4.0032175e-11
via01,1,2,5,Cd,9.607722e-09,1.33440583333333e-11
via01,1,3,7,Cd,9.607722e-09,1.86816816666667e-11
via01,1,4,8,Cd,9.607722e-09,2.13504933333333e-11
via01,1,5,11,Cd,9.607722e-09,2.93569283333333e-11
via01,1,6,25,Cd,9.607722e-09,6.67202916666667e-11
via01,1,7,100,Cd,9.607722e-09,2.66881166666667e-10
via01,1,8,143,Cd,9.607722e-09,3.81640068333333e-10
via01,1,9,185,Cd,9.607722e-09,4.93730158333333e-10
via01,1,10,198,Cd,9.607722e-09,5.2842471e-10
via01,1,11,162,Cd,9.607722e-09,4.3234749e-10
via01,1,12,149,Cd,9.607722e-09,3.97652938333333e-10
via01,1,13,122,Cd,9.607722e-09,3.25595023333333e-10
via01,1,14,96,Cd,9.607722e-09,2.5620592e-10
via01,1,15,85,Cd,9.607722e-09,2.26848991666667e-10
via01,1,16,91,Cd,9.607722e-09,2.42861861666667e-10
via01,1,17,156,Cd,9.607722e-09,4.1633462e-10
via01,1,18,205,Cd,9.607722e-09,5.47106391666667e-10
via01,1,19,189,Cd,9.607722e-09,5.04405405e-10
via01,1,20,94,Cd,9.607722e-09,2.50868296666667e-10
via01,1,21,26,Cd,9.607722e-09,6.93891033333333e-11
via01,1,22,18,Cd,9.607722e-09,4.803861e-11
via01,1,23,11,Cd,9.607722e-09,2.93569283333333e-11
