Roadway,Hour,Pollutant,EF
via01,0,Dioxins+Furans,7.05270277777777e-14
via01,1,Dioxins+Furans,1.05790541666667e-13
via01,2,Dioxins+Furans,6.40001166666667e-14
via01,3,Dioxins+Furans,1.06842125e-13
via01,4,Dioxins+Furans,1.42631430555556e-13
via01,5,Dioxins+Furans,3.07472552777777e-13
via01,6,Dioxins+Furans,4.34946994444444e-13
via01,7,Dioxins+Furans,1.13631931944444e-12
via01,8,Dioxins+Furans,1.41084893611111e-12
via01,9,Dioxins+Furans,1.76453565833333e-12
via01,10,Dioxins+Furans,2.02864041111111e-12
via01,11,Dioxins+Furans,1.48737708333333e-12
via01,12,Dioxins+Furans,1.30948213888889e-12
via01,13,Dioxins+Furans,1.06158595833333e-12
via01,14,Dioxins+Furans,9.64425494444444e-13
via01,15,Dioxins+Furans,9.44318969444445e-13
via01,16,Dioxins+Furans,9.57898583333334e-13
via01,17,Dioxins+Furans,1.531270675e-12
via01,18,Dioxins+Furans,1.96306291944444e-12
via01,19,Dioxins+Furans,1.93642948333334e-12
via01,20,Dioxins+Furans,7.77900472222222e-13
via01,21,Dioxins+Furans,2.69580080555555e-13
via01,22,Dioxins+Furans,1.84421855555555e-13
via01,23,Dioxins+Furans,1.06316333333333e-13
