Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via01,1,0,10,N2O lightweight,0.01064967,2.95824166666667e-05,0,0,0,2.95824166666667e-05
via01,1,1,15,N2O lightweight,0.01064967,4.4373625e-05,0,0,0,4.4373625e-05
via01,1,2,5,N2O lightweight,0.01064967,1.47912083333333e-05,1,0,0,1.47912083333333e-05
via01,1,3,7,N2O lightweight,0.01064967,2.07076916666667e-05,2,0,0,2.07076916666667e-05
via01,1,4,8,N2O lightweight,0.01064967,2.36659333333333e-05,3,0,0,2.36659333333333e-05
via01,1,5,11,N2O lightweight,0.01064967,3.25406583333333e-05,8,0,0,3.25406583333333e-05
via01,1,6,25,N2O lightweight,0.01064967,7.39560416666667e-05,9,0,0,7.39560416666667e-05
via01,1,7,100,N2O lightweight,0.01064967,0.000295824166666667,15,0,0,0.000295824166666667
via01,1,8,143,N2O lightweight,0.01064967,0.000423028558333333,14,0,0,0.000423028558333333
via01,1,9,185,N2O lightweight,0.01064967,0.000547274708333333,16,0,0,0.000547274708333333
via01,1,10,198,N2O lightweight,0.01064967,0.00058573185,22,0,0,0.00058573185
via01,1,11,162,N2O lightweight,0.01064967,0.00047923515,12,0,0,0.00047923515
via01,1,12,149,N2O lightweight,0.01064967,0.000440778008333333,9,0,0,0.000440778008333333
via01,1,13,122,N2O lightweight,0.01064967,0.000360905483333333,7,0,0,0.000360905483333333
via01,1,14,96,N2O lightweight,0.01064967,0.0002839912,10,0,0,0.0002839912
via01,1,15,85,N2O lightweight,0.01064967,0.000251450541666667,12,0,0,0.000251450541666667
via01,1,16,91,N2O lightweight,0.01064967,0.000269199991666667,11,0,0,0.000269199991666667
via01,1,17,156,N2O lightweight,0.01064967,0.0004614857,15,0,0,0.0004614857
via01,1,18,205,N2O lightweight,0.01064967,0.000606439541666667,18,0,0,0.000606439541666667
via01,1,19,189,N2O lightweight,0.01064967,0.000559107675,21,0,0,0.000559107675
via01,1,20,94,N2O lightweight,0.01064967,0.000278074716666667,4,0,0,0.000278074716666667
via01,1,21,26,N2O lightweight,0.01064967,7.69142833333333e-05,3,0,0,7.69142833333333e-05
via01,1,22,18,N2O lightweight,0.01064967,5.324835e-05,2,0,0,5.324835e-05
via01,1,23,11,N2O lightweight,0.01064967,3.25406583333333e-05,1,0,0,3.25406583333333e-05
