Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via01,1,0,0,N2O lightweight,0,0
via01,1,1,0,N2O lightweight,0,0
via01,1,2,1,N2O lightweight,0,0
via01,1,3,2,N2O lightweight,0,0
via01,1,4,3,N2O lightweight,0,0
via01,1,5,8,N2O lightweight,0,0
via01,1,6,9,N2O lightweight,0,0
via01,1,7,15,N2O lightweight,0,0
via01,1,8,14,N2O lightweight,0,0
via01,1,9,16,N2O lightweight,0,0
via01,1,10,22,N2O lightweight,0,0
via01,1,11,12,N2O lightweight,0,0
via01,1,12,9,N2O lightweight,0,0
via01,1,13,7,N2O lightweight,0,0
via01,1,14,10,N2O lightweight,0,0
via01,1,15,12,N2O lightweight,0,0
via01,1,16,11,N2O lightweight,0,0
via01,1,17,15,N2O lightweight,0,0
via01,1,18,18,N2O lightweight,0,0
via01,1,19,21,N2O lightweight,0,0
via01,1,20,4,N2O lightweight,0,0
via01,1,21,3,N2O lightweight,0,0
via01,1,22,2,N2O lightweight,0,0
via01,1,23,1,N2O lightweight,0,0
