Roadway,Hour,Pollutant,EF
via01,0,N2O_all,5.91648333333334e-05
via01,1,N2O_all,8.874725e-05
via01,2,N2O_all,2.95824166666666e-05
via01,3,N2O_all,4.14153833333334e-05
via01,4,N2O_all,4.73318666666666e-05
via01,5,N2O_all,6.50813166666666e-05
via01,6,N2O_all,0.000147912083333333
via01,7,N2O_all,0.000591648333333334
via01,8,N2O_all,0.000846057116666666
via01,9,N2O_all,0.00109454941666667
via01,10,N2O_all,0.0011714637
via01,11,N2O_all,0.0009584703
via01,12,N2O_all,0.000881556016666666
via01,13,N2O_all,0.000721810966666666
via01,14,N2O_all,0.0005679824
via01,15,N2O_all,0.000502901083333334
via01,16,N2O_all,0.000538399983333334
via01,17,N2O_all,0.0009229714
via01,18,N2O_all,0.00121287908333333
via01,19,N2O_all,0.00111821535
via01,20,N2O_all,0.000556149433333334
via01,21,N2O_all,0.000153828566666667
via01,22,N2O_all,0.0001064967
via01,23,N2O_all,6.50813166666666e-05
