Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via01,1,0,10,NH3 lightweight,0.03571377,9.92049166666667e-05
via01,1,1,15,NH3 lightweight,0.03571377,0.000148807375
via01,1,2,5,NH3 lightweight,0.03571377,4.96024583333333e-05
via01,1,3,7,NH3 lightweight,0.03571377,6.94434416666667e-05
via01,1,4,8,NH3 lightweight,0.03571377,7.93639333333333e-05
via01,1,5,11,NH3 lightweight,0.03571377,0.000109125408333333
via01,1,6,25,NH3 lightweight,0.03571377,0.000248012291666667
via01,1,7,100,NH3 lightweight,0.03571377,0.000992049166666667
via01,1,8,143,NH3 lightweight,0.03571377,0.00141863030833333
via01,1,9,185,NH3 lightweight,0.03571377,0.00183529095833333
via01,1,10,198,NH3 lightweight,0.03571377,0.00196425735
via01,1,11,162,NH3 lightweight,0.03571377,0.00160711965
via01,1,12,149,NH3 lightweight,0.03571377,0.00147815325833333
via01,1,13,122,NH3 lightweight,0.03571377,0.00121029998333333
via01,1,14,96,NH3 lightweight,0.03571377,0.0009523672
via01,1,15,85,NH3 lightweight,0.03571377,0.000843241791666667
via01,1,16,91,NH3 lightweight,0.03571377,0.000902764741666667
via01,1,17,156,NH3 lightweight,0.03571377,0.0015475967
via01,1,18,205,NH3 lightweight,0.03571377,0.00203370079166667
via01,1,19,189,NH3 lightweight,0.03571377,0.001874972925
via01,1,20,94,NH3 lightweight,0.03571377,0.000932526216666667
via01,1,21,26,NH3 lightweight,0.03571377,0.000257932783333333
via01,1,22,18,NH3 lightweight,0.03571377,0.00017856885
via01,1,23,11,NH3 lightweight,0.03571377,0.000109125408333333
