Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via01,1,0,10,PCDF,1.518883e-11,4.21911944444444e-14
via01,1,1,15,PCDF,1.518883e-11,6.32867916666667e-14
via01,1,2,5,PCDF,1.518883e-11,2.10955972222222e-14
via01,1,3,7,PCDF,1.518883e-11,2.95338361111111e-14
via01,1,4,8,PCDF,1.518883e-11,3.37529555555556e-14
via01,1,5,11,PCDF,1.518883e-11,4.64103138888889e-14
via01,1,6,25,PCDF,1.518883e-11,1.05477986111111e-13
via01,1,7,100,PCDF,1.518883e-11,4.21911944444445e-13
via01,1,8,143,PCDF,1.518883e-11,6.03334080555556e-13
via01,1,9,185,PCDF,1.518883e-11,7.80537097222222e-13
via01,1,10,198,PCDF,1.518883e-11,8.3538565e-13
via01,1,11,162,PCDF,1.518883e-11,6.8349735e-13
via01,1,12,149,PCDF,1.518883e-11,6.28648797222222e-13
via01,1,13,122,PCDF,1.518883e-11,5.14732572222222e-13
via01,1,14,96,PCDF,1.518883e-11,4.05035466666667e-13
via01,1,15,85,PCDF,1.518883e-11,3.58625152777778e-13
via01,1,16,91,PCDF,1.518883e-11,3.83939869444444e-13
via01,1,17,156,PCDF,1.518883e-11,6.58182633333333e-13
via01,1,18,205,PCDF,1.518883e-11,8.64919486111111e-13
via01,1,19,189,PCDF,1.518883e-11,7.97413575e-13
via01,1,20,94,PCDF,1.518883e-11,3.96597227777778e-13
via01,1,21,26,PCDF,1.518883e-11,1.09697105555556e-13
via01,1,22,18,PCDF,1.518883e-11,7.594415e-14
via01,1,23,11,PCDF,1.518883e-11,4.64103138888889e-14
