Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via01,1,0,0,PM Brakes,0.03189628,0
via01,1,1,0,PM Brakes,0.03189628,0
via01,1,2,1,PM Brakes,0.03189628,8.86007777777778e-06
via01,1,3,2,PM Brakes,0.03189628,1.77201555555556e-05
via01,1,4,3,PM Brakes,0.03189628,2.65802333333333e-05
via01,1,5,8,PM Brakes,0.03189628,7.08806222222222e-05
via01,1,6,9,PM Brakes,0.03189628,7.97407e-05
via01,1,7,15,PM Brakes,0.03189628,0.000132901166666667
via01,1,8,14,PM Brakes,0.03189628,0.000124041088888889
via01,1,9,16,PM Brakes,0.03189628,0.000141761244444444
via01,1,10,22,PM Brakes,0.03189628,0.000194921711111111
via01,1,11,12,PM Brakes,0.03189628,0.000106320933333333
via01,1,12,9,PM Brakes,0.03189628,7.97407e-05
via01,1,13,7,PM Brakes,0.03189628,6.20205444444444e-05
via01,1,14,10,PM Brakes,0.03189628,8.86007777777778e-05
via01,1,15,12,PM Brakes,0.03189628,0.000106320933333333
via01,1,16,11,PM Brakes,0.03189628,9.74608555555556e-05
via01,1,17,15,PM Brakes,0.03189628,0.000132901166666667
via01,1,18,18,PM Brakes,0.03189628,0.0001594814
via01,1,19,21,PM Brakes,0.03189628,0.000186061633333333
via01,1,20,4,PM Brakes,0.03189628,3.54403111111111e-05
via01,1,21,3,PM Brakes,0.03189628,2.65802333333333e-05
via01,1,22,2,PM Brakes,0.03189628,1.77201555555556e-05
via01,1,23,1,PM Brakes,0.03189628,8.86007777777778e-06
