Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via01,1,0,10,PM Road paved,0.00979431,2.72064166666667e-05
via01,1,1,15,PM Road paved,0.00979431,4.0809625e-05
via01,1,2,5,PM Road paved,0.00979431,1.36032083333333e-05
via01,1,3,7,PM Road paved,0.00979431,1.90444916666667e-05
via01,1,4,8,PM Road paved,0.00979431,2.17651333333333e-05
via01,1,5,11,PM Road paved,0.00979431,2.99270583333333e-05
via01,1,6,25,PM Road paved,0.00979431,6.80160416666667e-05
via01,1,7,100,PM Road paved,0.00979431,0.000272064166666667
via01,1,8,143,PM Road paved,0.00979431,0.000389051758333333
via01,1,9,185,PM Road paved,0.00979431,0.000503318708333333
via01,1,10,198,PM Road paved,0.00979431,0.00053868705
via01,1,11,162,PM Road paved,0.00979431,0.00044074395
via01,1,12,149,PM Road paved,0.00979431,0.000405375608333333
via01,1,13,122,PM Road paved,0.00979431,0.000331918283333333
via01,1,14,96,PM Road paved,0.00979431,0.0002611816
via01,1,15,85,PM Road paved,0.00979431,0.000231254541666667
via01,1,16,91,PM Road paved,0.00979431,0.000247578391666667
via01,1,17,156,PM Road paved,0.00979431,0.0004244201
via01,1,18,205,PM Road paved,0.00979431,0.000557731541666667
via01,1,19,189,PM Road paved,0.00979431,0.000514201275
via01,1,20,94,PM Road paved,0.00979431,0.000255740316666667
via01,1,21,26,PM Road paved,0.00979431,7.07366833333333e-05
via01,1,22,18,PM Road paved,0.00979431,4.897155e-05
via01,1,23,11,PM Road paved,0.00979431,2.99270583333333e-05
