Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via01,1,0,0,SO2,0.002355085,0
via01,1,1,0,SO2,0.002355085,0
via01,1,2,1,SO2,0.002355085,6.54190277777778e-07
via01,1,3,2,SO2,0.002355085,1.30838055555556e-06
via01,1,4,3,SO2,0.002355085,1.96257083333333e-06
via01,1,5,8,SO2,0.002355085,5.23352222222222e-06
via01,1,6,9,SO2,0.002355085,5.8877125e-06
via01,1,7,15,SO2,0.002355085,9.81285416666667e-06
via01,1,8,14,SO2,0.002355085,9.15866388888889e-06
via01,1,9,16,SO2,0.002355085,1.04670444444444e-05
via01,1,10,22,SO2,0.002355085,1.43921861111111e-05
via01,1,11,12,SO2,0.002355085,7.85028333333333e-06
via01,1,12,9,SO2,0.002355085,5.8877125e-06
via01,1,13,7,SO2,0.002355085,4.57933194444444e-06
via01,1,14,10,SO2,0.002355085,6.54190277777778e-06
via01,1,15,12,SO2,0.002355085,7.85028333333333e-06
via01,1,16,11,SO2,0.002355085,7.19609305555555e-06
via01,1,17,15,SO2,0.002355085,9.81285416666667e-06
via01,1,18,18,SO2,0.002355085,1.1775425e-05
via01,1,19,21,SO2,0.002355085,1.37379958333333e-05
via01,1,20,4,SO2,0.002355085,2.61676111111111e-06
via01,1,21,3,SO2,0.002355085,1.96257083333333e-06
via01,1,22,2,SO2,0.002355085,1.30838055555556e-06
via01,1,23,1,SO2,0.002355085,6.54190277777778e-07
