Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via01,1,0,10,VOC,0.2237746,0.000621596111111111,0,0.07105865,0,0.000621596111111111
via01,1,1,15,VOC,0.2237746,0.000932394166666667,0,0.07105865,0,0.000932394166666667
via01,1,2,5,VOC,0.2237746,0.000310798055555556,1,0.07105865,1.97385138888889e-05,0.000330536569444444
via01,1,3,7,VOC,0.2237746,0.000435117277777778,2,0.07105865,3.94770277777778e-05,0.000474594305555556
via01,1,4,8,VOC,0.2237746,0.000497276888888889,3,0.07105865,5.92155416666667e-05,0.000556492430555556
via01,1,5,11,VOC,0.2237746,0.000683755722222222,8,0.07105865,0.000157908111111111,0.000841663833333333
via01,1,6,25,VOC,0.2237746,0.00155399027777778,9,0.07105865,0.000177646625,0.00173163690277778
via01,1,7,100,VOC,0.2237746,0.00621596111111111,15,0.07105865,0.000296077708333333,0.00651203881944444
via01,1,8,143,VOC,0.2237746,0.00888882438888889,14,0.07105865,0.000276339194444444,0.00916516358333333
via01,1,9,185,VOC,0.2237746,0.0114995280555556,16,0.07105865,0.000315816222222222,0.0118153442777778
via01,1,10,198,VOC,0.2237746,0.012307603,22,0.07105865,0.000434247305555556,0.0127418503055556
via01,1,11,162,VOC,0.2237746,0.010069857,12,0.07105865,0.000236862166666667,0.0103067191666667
via01,1,12,149,VOC,0.2237746,0.00926178205555556,9,0.07105865,0.000177646625,0.00943942868055556
via01,1,13,122,VOC,0.2237746,0.00758347255555556,7,0.07105865,0.000138169597222222,0.00772164215277778
via01,1,14,96,VOC,0.2237746,0.00596732266666667,10,0.07105865,0.000197385138888889,0.00616470780555555
via01,1,15,85,VOC,0.2237746,0.00528356694444444,12,0.07105865,0.000236862166666667,0.00552042911111111
via01,1,16,91,VOC,0.2237746,0.00565652461111111,11,0.07105865,0.000217123652777778,0.00587364826388889
via01,1,17,156,VOC,0.2237746,0.00969689933333333,15,0.07105865,0.000296077708333333,0.00999297704166667
via01,1,18,205,VOC,0.2237746,0.0127427202777778,18,0.07105865,0.00035529325,0.0130980135277778
via01,1,19,189,VOC,0.2237746,0.0117481665,21,0.07105865,0.000414508791666667,0.0121626752916667
via01,1,20,94,VOC,0.2237746,0.00584300344444444,4,0.07105865,7.89540555555556e-05,0.0059219575
via01,1,21,26,VOC,0.2237746,0.00161614988888889,3,0.07105865,5.92155416666667e-05,0.00167536543055556
via01,1,22,18,VOC,0.2237746,0.001118873,2,0.07105865,3.94770277777778e-05,0.00115835002777778
via01,1,23,11,VOC,0.2237746,0.000683755722222222,1,0.07105865,1.97385138888889e-05,0.000703494236111111
