Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via01,1,0,0,benzene,0.0001760751,0
via01,1,1,0,benzene,0.0001760751,0
via01,1,2,1,benzene,0.0001760751,4.890975e-08
via01,1,3,2,benzene,0.0001760751,9.78195e-08
via01,1,4,3,benzene,0.0001760751,1.4672925e-07
via01,1,5,8,benzene,0.0001760751,3.91278e-07
via01,1,6,9,benzene,0.0001760751,4.4018775e-07
via01,1,7,15,benzene,0.0001760751,7.3364625e-07
via01,1,8,14,benzene,0.0001760751,6.847365e-07
via01,1,9,16,benzene,0.0001760751,7.82556e-07
via01,1,10,22,benzene,0.0001760751,1.0760145e-06
via01,1,11,12,benzene,0.0001760751,5.86917e-07
via01,1,12,9,benzene,0.0001760751,4.4018775e-07
via01,1,13,7,benzene,0.0001760751,3.4236825e-07
via01,1,14,10,benzene,0.0001760751,4.890975e-07
via01,1,15,12,benzene,0.0001760751,5.86917e-07
via01,1,16,11,benzene,0.0001760751,5.3800725e-07
via01,1,17,15,benzene,0.0001760751,7.3364625e-07
via01,1,18,18,benzene,0.0001760751,8.803755e-07
via01,1,19,21,benzene,0.0001760751,1.02710475e-06
via01,1,20,4,benzene,0.0001760751,1.95639e-07
via01,1,21,3,benzene,0.0001760751,1.4672925e-07
via01,1,22,2,benzene,0.0001760751,9.78195e-08
via01,1,23,1,benzene,0.0001760751,4.890975e-08
