Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via01,1,0,10,benzo(a)pyrene,9.73971e-07,2.705475e-09,0,2.09011e-06,0,2.705475e-09
via01,1,1,15,benzo(a)pyrene,9.73971e-07,4.0582125e-09,0,2.09011e-06,0,4.0582125e-09
via01,1,2,5,benzo(a)pyrene,9.73971e-07,1.3527375e-09,1,2.09011e-06,5.80586111111111e-10,1.93332361111111e-09
via01,1,3,7,benzo(a)pyrene,9.73971e-07,1.8938325e-09,2,2.09011e-06,1.16117222222222e-09,3.05500472222222e-09
via01,1,4,8,benzo(a)pyrene,9.73971e-07,2.16438e-09,3,2.09011e-06,1.74175833333333e-09,3.90613833333333e-09
via01,1,5,11,benzo(a)pyrene,9.73971e-07,2.9760225e-09,8,2.09011e-06,4.64468888888889e-09,7.62071138888889e-09
via01,1,6,25,benzo(a)pyrene,9.73971e-07,6.7636875e-09,9,2.09011e-06,5.225275e-09,1.19889625e-08
via01,1,7,100,benzo(a)pyrene,9.73971e-07,2.705475e-08,15,2.09011e-06,8.70879166666667e-09,3.57635416666667e-08
via01,1,8,143,benzo(a)pyrene,9.73971e-07,3.86882925e-08,14,2.09011e-06,8.12820555555556e-09,4.68164980555556e-08
via01,1,9,185,benzo(a)pyrene,9.73971e-07,5.00512875e-08,16,2.09011e-06,9.28937777777778e-09,5.93406652777778e-08
via01,1,10,198,benzo(a)pyrene,9.73971e-07,5.3568405e-08,22,2.09011e-06,1.27728944444444e-08,6.63412994444444e-08
via01,1,11,162,benzo(a)pyrene,9.73971e-07,4.3828695e-08,12,2.09011e-06,6.96703333333333e-09,5.07957283333333e-08
via01,1,12,149,benzo(a)pyrene,9.73971e-07,4.03115775e-08,9,2.09011e-06,5.225275e-09,4.55368525e-08
via01,1,13,122,benzo(a)pyrene,9.73971e-07,3.3006795e-08,7,2.09011e-06,4.06410277777778e-09,3.70708977777778e-08
via01,1,14,96,benzo(a)pyrene,9.73971e-07,2.597256e-08,10,2.09011e-06,5.80586111111111e-09,3.17784211111111e-08
via01,1,15,85,benzo(a)pyrene,9.73971e-07,2.29965375e-08,12,2.09011e-06,6.96703333333333e-09,2.99635708333333e-08
via01,1,16,91,benzo(a)pyrene,9.73971e-07,2.46198225e-08,11,2.09011e-06,6.38644722222222e-09,3.10062697222222e-08
via01,1,17,156,benzo(a)pyrene,9.73971e-07,4.220541e-08,15,2.09011e-06,8.70879166666667e-09,5.09142016666667e-08
via01,1,18,205,benzo(a)pyrene,9.73971e-07,5.54622375e-08,18,2.09011e-06,1.045055e-08,6.59127875e-08
via01,1,19,189,benzo(a)pyrene,9.73971e-07,5.11334775e-08,21,2.09011e-06,1.21923083333333e-08,6.33257858333333e-08
via01,1,20,94,benzo(a)pyrene,9.73971e-07,2.5431465e-08,4,2.09011e-06,2.32234444444444e-09,2.77538094444444e-08
via01,1,21,26,benzo(a)pyrene,9.73971e-07,7.034235e-09,3,2.09011e-06,1.74175833333333e-09,8.77599333333333e-09
via01,1,22,18,benzo(a)pyrene,9.73971e-07,4.869855e-09,2,2.09011e-06,1.16117222222222e-09,6.03102722222222e-09
via01,1,23,11,benzo(a)pyrene,9.73971e-07,2.9760225e-09,1,2.09011e-06,5.80586111111111e-10,3.55660861111111e-09
