Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via01,1,0,10,o-xylene,0.0003978129,1.10503583333333e-06
via01,1,1,15,o-xylene,0.0003978129,1.65755375e-06
via01,1,2,5,o-xylene,0.0003978129,5.52517916666667e-07
via01,1,3,7,o-xylene,0.0003978129,7.73525083333333e-07
via01,1,4,8,o-xylene,0.0003978129,8.84028666666667e-07
via01,1,5,11,o-xylene,0.0003978129,1.21553941666667e-06
via01,1,6,25,o-xylene,0.0003978129,2.76258958333333e-06
via01,1,7,100,o-xylene,0.0003978129,1.10503583333333e-05
via01,1,8,143,o-xylene,0.0003978129,1.58020124166667e-05
via01,1,9,185,o-xylene,0.0003978129,2.04431629166667e-05
via01,1,10,198,o-xylene,0.0003978129,2.18797095e-05
via01,1,11,162,o-xylene,0.0003978129,1.79015805e-05
via01,1,12,149,o-xylene,0.0003978129,1.64650339166667e-05
via01,1,13,122,o-xylene,0.0003978129,1.34814371666667e-05
via01,1,14,96,o-xylene,0.0003978129,1.0608344e-05
via01,1,15,85,o-xylene,0.0003978129,9.39280458333333e-06
via01,1,16,91,o-xylene,0.0003978129,1.00558260833333e-05
via01,1,17,156,o-xylene,0.0003978129,1.7238559e-05
via01,1,18,205,o-xylene,0.0003978129,2.26532345833333e-05
via01,1,19,189,o-xylene,0.0003978129,2.088517725e-05
via01,1,20,94,o-xylene,0.0003978129,1.03873368333333e-05
via01,1,21,26,o-xylene,0.0003978129,2.87309316666667e-06
via01,1,22,18,o-xylene,0.0003978129,1.9890645e-06
via01,1,23,11,o-xylene,0.0003978129,1.21553941666667e-06
