Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via01,1,0,10,toluene,0.001819048,5.05291111111111e-06
via01,1,1,15,toluene,0.001819048,7.57936666666667e-06
via01,1,2,5,toluene,0.001819048,2.52645555555556e-06
via01,1,3,7,toluene,0.001819048,3.53703777777778e-06
via01,1,4,8,toluene,0.001819048,4.04232888888889e-06
via01,1,5,11,toluene,0.001819048,5.55820222222222e-06
via01,1,6,25,toluene,0.001819048,1.26322777777778e-05
via01,1,7,100,toluene,0.001819048,5.05291111111111e-05
via01,1,8,143,toluene,0.001819048,7.22566288888889e-05
via01,1,9,185,toluene,0.001819048,9.34788555555556e-05
via01,1,10,198,toluene,0.001819048,0.00010004764
via01,1,11,162,toluene,0.001819048,8.185716e-05
via01,1,12,149,toluene,0.001819048,7.52883755555556e-05
via01,1,13,122,toluene,0.001819048,6.16455155555556e-05
via01,1,14,96,toluene,0.001819048,4.85079466666667e-05
via01,1,15,85,toluene,0.001819048,4.29497444444444e-05
via01,1,16,91,toluene,0.001819048,4.59814911111111e-05
via01,1,17,156,toluene,0.001819048,7.88254133333333e-05
via01,1,18,205,toluene,0.001819048,0.000103584677777778
via01,1,19,189,toluene,0.001819048,9.550002e-05
via01,1,20,94,toluene,0.001819048,4.74973644444444e-05
via01,1,21,26,toluene,0.001819048,1.31375688888889e-05
via01,1,22,18,toluene,0.001819048,9.09524e-06
via01,1,23,11,toluene,0.001819048,5.55820222222222e-06
