Roadway,Hour,Pollutant,EF
via01,0,xylene,3.74197388888889e-06
via01,1,xylene,5.61296083333333e-06
via01,2,xylene,2.83520805555555e-06
via01,3,xylene,4.54782394444444e-06
via01,4,xylene,5.88624244444444e-06
via01,5,xylene,1.18299401666667e-05
via01,6,xylene,1.80329247222222e-05
via01,7,xylene,5.18830555555556e-05
via01,8,xylene,6.70093221666667e-05
via01,9,xylene,8.46540547222222e-05
via01,10,xylene,9.53039474444445e-05
via01,11,xylene,7.21906303333333e-05
via01,12,xylene,6.44334009444445e-05
via01,13,xylene,5.24016292222222e-05
via01,14,xylene,4.55651604444444e-05
via01,15,xylene,4.33774313888889e-05
via01,16,xylene,4.46583946111111e-05
via01,17,xylene,7.28381093333334e-05
via01,18,xylene,9.40664447222222e-05
via01,19,xylene,9.09719498333333e-05
via01,20,xylene,3.9031439e-05
via01,21,xylene,1.26217954444444e-05
via01,22,xylene,8.66399522222222e-06
via01,23,xylene,5.08039238888889e-06
