Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via02,1,0,0,As,4.80263695e-08,0
via02,1,1,0,As,4.80263695e-08,0
via02,1,2,1,As,4.80263695e-08,1.33406581944444e-11
via02,1,3,2,As,4.80263695e-08,2.66813163888889e-11
via02,1,4,3,As,4.80263695e-08,4.00219745833333e-11
via02,1,5,8,As,4.80263695e-08,1.06725265555556e-10
via02,1,6,9,As,4.80263695e-08,1.2006592375e-10
via02,1,7,15,As,4.80263695e-08,2.00109872916667e-10
via02,1,8,14,As,4.80263695e-08,1.86769214722222e-10
via02,1,9,16,As,4.80263695e-08,2.13450531111111e-10
via02,1,10,22,As,4.80263695e-08,2.93494480277778e-10
via02,1,11,12,As,4.80263695e-08,1.60087898333333e-10
via02,1,12,9,As,4.80263695e-08,1.2006592375e-10
via02,1,13,7,As,4.80263695e-08,9.33846073611111e-11
via02,1,14,10,As,4.80263695e-08,1.33406581944444e-10
via02,1,15,12,As,4.80263695e-08,1.60087898333333e-10
via02,1,16,11,As,4.80263695e-08,1.46747240138889e-10
via02,1,17,15,As,4.80263695e-08,2.00109872916667e-10
via02,1,18,18,As,4.80263695e-08,2.401318475e-10
via02,1,19,21,As,4.80263695e-08,2.80153822083333e-10
via02,1,20,4,As,4.80263695e-08,5.33626327777778e-11
via02,1,21,3,As,4.80263695e-08,4.00219745833333e-11
via02,1,22,2,As,4.80263695e-08,2.66813163888889e-11
via02,1,23,1,As,4.80263695e-08,1.33406581944444e-11
