Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via02,1,0,10,Cd,9.607722e-09,2.66881166666667e-11,0,2.40131845e-08,0,2.66881166666667e-11
via02,1,1,15,Cd,9.607722e-09,4.0032175e-11,0,2.40131845e-08,0,4.0032175e-11
via02,1,2,5,Cd,9.607722e-09,1.33440583333333e-11,1,2.40131845e-08,6.67032902777778e-12,2.00143873611111e-11
via02,1,3,7,Cd,9.607722e-09,1.86816816666667e-11,2,2.40131845e-08,1.33406580555556e-11,3.20223397222222e-11
via02,1,4,8,Cd,9.607722e-09,2.13504933333333e-11,3,2.40131845e-08,2.00109870833333e-11,4.13614804166667e-11
via02,1,5,11,Cd,9.607722e-09,2.93569283333333e-11,8,2.40131845e-08,5.33626322222222e-11,8.27195605555555e-11
via02,1,6,25,Cd,9.607722e-09,6.67202916666667e-11,9,2.40131845e-08,6.003296125e-11,1.26753252916667e-10
via02,1,7,100,Cd,9.607722e-09,2.66881166666667e-10,15,2.40131845e-08,1.00054935416667e-10,3.66936102083333e-10
via02,1,8,143,Cd,9.607722e-09,3.81640068333333e-10,14,2.40131845e-08,9.33846063888889e-11,4.75024674722222e-10
via02,1,9,185,Cd,9.607722e-09,4.93730158333333e-10,16,2.40131845e-08,1.06725264444444e-10,6.00455422777778e-10
via02,1,10,198,Cd,9.607722e-09,5.2842471e-10,22,2.40131845e-08,1.46747238611111e-10,6.75171948611111e-10
via02,1,11,162,Cd,9.607722e-09,4.3234749e-10,12,2.40131845e-08,8.00439483333333e-11,5.12391438333333e-10
via02,1,12,149,Cd,9.607722e-09,3.97652938333333e-10,9,2.40131845e-08,6.003296125e-11,4.57685899583333e-10
via02,1,13,122,Cd,9.607722e-09,3.25595023333333e-10,7,2.40131845e-08,4.66923031944444e-11,3.72287326527778e-10
via02,1,14,96,Cd,9.607722e-09,2.5620592e-10,10,2.40131845e-08,6.67032902777778e-11,3.22909210277778e-10
via02,1,15,85,Cd,9.607722e-09,2.26848991666667e-10,12,2.40131845e-08,8.00439483333333e-11,3.0689294e-10
via02,1,16,91,Cd,9.607722e-09,2.42861861666667e-10,11,2.40131845e-08,7.33736193055555e-11,3.16235480972222e-10
via02,1,17,156,Cd,9.607722e-09,4.1633462e-10,15,2.40131845e-08,1.00054935416667e-10,5.16389555416667e-10
via02,1,18,205,Cd,9.607722e-09,5.47106391666667e-10,18,2.40131845e-08,1.200659225e-10,6.67172314166667e-10
via02,1,19,189,Cd,9.607722e-09,5.04405405e-10,21,2.40131845e-08,1.40076909583333e-10,6.44482314583333e-10
via02,1,20,94,Cd,9.607722e-09,2.50868296666667e-10,4,2.40131845e-08,2.66813161111111e-11,2.77549612777778e-10
via02,1,21,26,Cd,9.607722e-09,6.93891033333333e-11,3,2.40131845e-08,2.00109870833333e-11,8.94000904166667e-11
via02,1,22,18,Cd,9.607722e-09,4.803861e-11,2,2.40131845e-08,1.33406580555556e-11,6.13792680555556e-11
via02,1,23,11,Cd,9.607722e-09,2.93569283333333e-11,1,2.40131845e-08,6.67032902777778e-12,3.60272573611111e-11
