Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via02,1,0,0,NH3,0.0117714,0
via02,1,1,0,NH3,0.0117714,0
via02,1,2,1,NH3,0.0117714,3.26983333333333e-06
via02,1,3,2,NH3,0.0117714,6.53966666666667e-06
via02,1,4,3,NH3,0.0117714,9.8095e-06
via02,1,5,8,NH3,0.0117714,2.61586666666667e-05
via02,1,6,9,NH3,0.0117714,2.94285e-05
via02,1,7,15,NH3,0.0117714,4.90475e-05
via02,1,8,14,NH3,0.0117714,4.57776666666667e-05
via02,1,9,16,NH3,0.0117714,5.23173333333333e-05
via02,1,10,22,NH3,0.0117714,7.19363333333333e-05
via02,1,11,12,NH3,0.0117714,3.9238e-05
via02,1,12,9,NH3,0.0117714,2.94285e-05
via02,1,13,7,NH3,0.0117714,2.28888333333333e-05
via02,1,14,10,NH3,0.0117714,3.26983333333333e-05
via02,1,15,12,NH3,0.0117714,3.9238e-05
via02,1,16,11,NH3,0.0117714,3.59681666666667e-05
via02,1,17,15,NH3,0.0117714,4.90475e-05
via02,1,18,18,NH3,0.0117714,5.8857e-05
via02,1,19,21,NH3,0.0117714,6.86665e-05
via02,1,20,4,NH3,0.0117714,1.30793333333333e-05
via02,1,21,3,NH3,0.0117714,9.8095e-06
via02,1,22,2,NH3,0.0117714,6.53966666666667e-06
via02,1,23,1,NH3,0.0117714,3.26983333333333e-06
