Roadway,Hour,Pollutant,EF
via02,0,NH3_all,0.000198409833333333
via02,1,NH3_all,0.00029761475
via02,2,NH3_all,9.92049166666666e-05
via02,3,NH3_all,0.000138886883333333
via02,4,NH3_all,0.000158727866666667
via02,5,NH3_all,0.000218250816666666
via02,6,NH3_all,0.000496024583333334
via02,7,NH3_all,0.00198409833333333
via02,8,NH3_all,0.00283726061666666
via02,9,NH3_all,0.00367058191666666
via02,10,NH3_all,0.0039285147
via02,11,NH3_all,0.0032142393
via02,12,NH3_all,0.00295630651666666
via02,13,NH3_all,0.00242059996666666
via02,14,NH3_all,0.0019047344
via02,15,NH3_all,0.00168648358333333
via02,16,NH3_all,0.00180552948333333
via02,17,NH3_all,0.0030951934
via02,18,NH3_all,0.00406740158333334
via02,19,NH3_all,0.00374994585
via02,20,NH3_all,0.00186505243333333
via02,21,NH3_all,0.000515865566666666
via02,22,NH3_all,0.0003571377
via02,23,NH3_all,0.000218250816666666
