Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via02,1,0,10,NOx,1.104357,0.00306765833333333
via02,1,1,15,NOx,1.104357,0.0046014875
via02,1,2,5,NOx,1.104357,0.00153382916666667
via02,1,3,7,NOx,1.104357,0.00214736083333333
via02,1,4,8,NOx,1.104357,0.00245412666666667
via02,1,5,11,NOx,1.104357,0.00337442416666667
via02,1,6,25,NOx,1.104357,0.00766914583333333
via02,1,7,100,NOx,1.104357,0.0306765833333333
via02,1,8,143,NOx,1.104357,0.0438675141666667
via02,1,9,185,NOx,1.104357,0.0567516791666667
via02,1,10,198,NOx,1.104357,0.060739635
via02,1,11,162,NOx,1.104357,0.049696065
via02,1,12,149,NOx,1.104357,0.0457081091666667
via02,1,13,122,NOx,1.104357,0.0374254316666667
via02,1,14,96,NOx,1.104357,0.02944952
via02,1,15,85,NOx,1.104357,0.0260750958333333
via02,1,16,91,NOx,1.104357,0.0279156908333333
via02,1,17,156,NOx,1.104357,0.04785547
via02,1,18,205,NOx,1.104357,0.0628869958333333
via02,1,19,189,NOx,1.104357,0.0579787425
via02,1,20,94,NOx,1.104357,0.0288359883333333
via02,1,21,26,NOx,1.104357,0.00797591166666667
via02,1,22,18,NOx,1.104357,0.005521785
via02,1,23,11,NOx,1.104357,0.00337442416666667
