Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via02,1,0,10,PCDD,1.02009e-11,2.83358333333333e-14,0,4.105538e-11,0,2.83358333333333e-14
via02,1,1,15,PCDD,1.02009e-11,4.250375e-14,0,4.105538e-11,0,4.250375e-14
via02,1,2,5,PCDD,1.02009e-11,1.41679166666667e-14,1,4.105538e-11,1.14042722222222e-14,2.55721888888889e-14
via02,1,3,7,PCDD,1.02009e-11,1.98350833333333e-14,2,4.105538e-11,2.28085444444444e-14,4.26436277777778e-14
via02,1,4,8,PCDD,1.02009e-11,2.26686666666667e-14,3,4.105538e-11,3.42128166666667e-14,5.68814833333333e-14
via02,1,5,11,PCDD,1.02009e-11,3.11694166666667e-14,8,4.105538e-11,9.12341777777778e-14,1.22403594444444e-13
via02,1,6,25,PCDD,1.02009e-11,7.08395833333333e-14,9,4.105538e-11,1.0263845e-13,1.73478033333333e-13
via02,1,7,100,PCDD,1.02009e-11,2.83358333333333e-13,15,4.105538e-11,1.71064083333333e-13,4.54422416666667e-13
via02,1,8,143,PCDD,1.02009e-11,4.05202416666667e-13,14,4.105538e-11,1.59659811111111e-13,5.64862227777778e-13
via02,1,9,185,PCDD,1.02009e-11,5.24212916666667e-13,16,4.105538e-11,1.82468355555556e-13,7.06681272222222e-13
via02,1,10,198,PCDD,1.02009e-11,5.610495e-13,22,4.105538e-11,2.50893988888889e-13,8.11943488888889e-13
via02,1,11,162,PCDD,1.02009e-11,4.590405e-13,12,4.105538e-11,1.36851266666667e-13,5.95891766666667e-13
via02,1,12,149,PCDD,1.02009e-11,4.22203916666667e-13,9,4.105538e-11,1.0263845e-13,5.24842366666667e-13
via02,1,13,122,PCDD,1.02009e-11,3.45697166666667e-13,7,4.105538e-11,7.98299055555556e-14,4.25527072222222e-13
via02,1,14,96,PCDD,1.02009e-11,2.72024e-13,10,4.105538e-11,1.14042722222222e-13,3.86066722222222e-13
via02,1,15,85,PCDD,1.02009e-11,2.40854583333333e-13,12,4.105538e-11,1.36851266666667e-13,3.7770585e-13
via02,1,16,91,PCDD,1.02009e-11,2.57856083333333e-13,11,4.105538e-11,1.25446994444444e-13,3.83303077777778e-13
via02,1,17,156,PCDD,1.02009e-11,4.42039e-13,15,4.105538e-11,1.71064083333333e-13,6.13103083333333e-13
via02,1,18,205,PCDD,1.02009e-11,5.80884583333333e-13,18,4.105538e-11,2.052769e-13,7.86161483333333e-13
via02,1,19,189,PCDD,1.02009e-11,5.3554725e-13,21,4.105538e-11,2.39489716666667e-13,7.75036966666667e-13
via02,1,20,94,PCDD,1.02009e-11,2.66356833333333e-13,4,4.105538e-11,4.56170888888889e-14,3.11973922222222e-13
via02,1,21,26,PCDD,1.02009e-11,7.36731666666667e-14,3,4.105538e-11,3.42128166666667e-14,1.07885983333333e-13
via02,1,22,18,PCDD,1.02009e-11,5.10045e-14,2,4.105538e-11,2.28085444444444e-14,7.38130444444444e-14
via02,1,23,11,PCDD,1.02009e-11,3.11694166666667e-14,1,4.105538e-11,1.14042722222222e-14,4.25736888888889e-14
