Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via02,1,0,10,PM Exhaust,0.05595565,0.000155432361111111,0,0.06150052,0,0.000155432361111111
via02,1,1,15,PM Exhaust,0.05595565,0.000233148541666667,0,0.06150052,0,0.000233148541666667
via02,1,2,5,PM Exhaust,0.05595565,7.77161805555556e-05,1,0.06150052,1.70834777777778e-05,9.47996583333333e-05
via02,1,3,7,PM Exhaust,0.05595565,0.000108802652777778,2,0.06150052,3.41669555555556e-05,0.000142969608333333
via02,1,4,8,PM Exhaust,0.05595565,0.000124345888888889,3,0.06150052,5.12504333333333e-05,0.000175596322222222
via02,1,5,11,PM Exhaust,0.05595565,0.000170975597222222,8,0.06150052,0.000136667822222222,0.000307643419444444
via02,1,6,25,PM Exhaust,0.05595565,0.000388580902777778,9,0.06150052,0.0001537513,0.000542332202777778
via02,1,7,100,PM Exhaust,0.05595565,0.00155432361111111,15,0.06150052,0.000256252166666667,0.00181057577777778
via02,1,8,143,PM Exhaust,0.05595565,0.00222268276388889,14,0.06150052,0.000239168688888889,0.00246185145277778
via02,1,9,185,PM Exhaust,0.05595565,0.00287549868055556,16,0.06150052,0.000273335644444444,0.003148834325
via02,1,10,198,PM Exhaust,0.05595565,0.00307756075,22,0.06150052,0.000375836511111111,0.00345339726111111
via02,1,11,162,PM Exhaust,0.05595565,0.00251800425,12,0.06150052,0.000205001733333333,0.00272300598333333
via02,1,12,149,PM Exhaust,0.05595565,0.00231594218055556,9,0.06150052,0.0001537513,0.00246969348055556
via02,1,13,122,PM Exhaust,0.05595565,0.00189627480555556,7,0.06150052,0.000119584344444444,0.00201585915
via02,1,14,96,PM Exhaust,0.05595565,0.00149215066666667,10,0.06150052,0.000170834777777778,0.00166298544444444
via02,1,15,85,PM Exhaust,0.05595565,0.00132117506944444,12,0.06150052,0.000205001733333333,0.00152617680277778
via02,1,16,91,PM Exhaust,0.05595565,0.00141443448611111,11,0.06150052,0.000187918255555556,0.00160235274166667
via02,1,17,156,PM Exhaust,0.05595565,0.00242474483333333,15,0.06150052,0.000256252166666667,0.002680997
via02,1,18,205,PM Exhaust,0.05595565,0.00318636340277778,18,0.06150052,0.0003075026,0.00349386600277778
via02,1,19,189,PM Exhaust,0.05595565,0.002937671625,21,0.06150052,0.000358753033333333,0.00329642465833333
via02,1,20,94,PM Exhaust,0.05595565,0.00146106419444444,4,0.06150052,6.83339111111111e-05,0.00152939810555556
via02,1,21,26,PM Exhaust,0.05595565,0.000404124138888889,3,0.06150052,5.12504333333333e-05,0.000455374572222222
via02,1,22,18,PM Exhaust,0.05595565,0.00027977825,2,0.06150052,3.41669555555556e-05,0.000313945205555556
via02,1,23,11,PM Exhaust,0.05595565,0.000170975597222222,1,0.06150052,1.70834777777778e-05,0.000188059075
