Roadway,Hour,Pollutant,EF
via02,0,PM10,0.000216463455555556
via02,1,PM10,0.000324695183333334
via02,2,PM10,0.000175589275
via02,3,PM10,0.000286239513333333
via02,4,PM10,0.000375243406111111
via02,5,PM10,0.000776970178888889
via02,6,PM10,0.00114737656388889
via02,7,PM10,0.00317499776388889
via02,8,PM10,0.00403843307555556
via02,9,PM10,0.00508229468333333
via02,10,PM10,0.00576784245888888
via02,11,PM10,0.00431499854666666
via02,12,PM10,0.00383152341277778
via02,13,PM10,0.00311235698833333
via02,14,PM10,0.00275162464555555
via02,15,PM10,0.00264822993888889
via02,16,PM10,0.002710750465
via02,17,PM10,0.004387193115
via02,18,PM10,0.00564993668888889
via02,19,PM10,0.00550566780166666
via02,20,PM10,0.00230418667111112
via02,21,PM10,0.00076487762611111
via02,22,PM10,0.000524349314444445
via02,23,PM10,0.000305467348333333
