Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via02,1,0,10,Pb,8.367497e-08,2.32430472222222e-10
via02,1,1,15,Pb,8.367497e-08,3.48645708333333e-10
via02,1,2,5,Pb,8.367497e-08,1.16215236111111e-10
via02,1,3,7,Pb,8.367497e-08,1.62701330555556e-10
via02,1,4,8,Pb,8.367497e-08,1.85944377777778e-10
via02,1,5,11,Pb,8.367497e-08,2.55673519444444e-10
via02,1,6,25,Pb,8.367497e-08,5.81076180555555e-10
via02,1,7,100,Pb,8.367497e-08,2.32430472222222e-09
via02,1,8,143,Pb,8.367497e-08,3.32375575277778e-09
via02,1,9,185,Pb,8.367497e-08,4.29996373611111e-09
via02,1,10,198,Pb,8.367497e-08,4.60212335e-09
via02,1,11,162,Pb,8.367497e-08,3.76537365e-09
via02,1,12,149,Pb,8.367497e-08,3.46321403611111e-09
via02,1,13,122,Pb,8.367497e-08,2.83565176111111e-09
via02,1,14,96,Pb,8.367497e-08,2.23133253333333e-09
via02,1,15,85,Pb,8.367497e-08,1.97565901388889e-09
via02,1,16,91,Pb,8.367497e-08,2.11511729722222e-09
via02,1,17,156,Pb,8.367497e-08,3.62591536666667e-09
via02,1,18,205,Pb,8.367497e-08,4.76482468055556e-09
via02,1,19,189,Pb,8.367497e-08,4.392935925e-09
via02,1,20,94,Pb,8.367497e-08,2.18484643888889e-09
via02,1,21,26,Pb,8.367497e-08,6.04319227777778e-10
via02,1,22,18,Pb,8.367497e-08,4.1837485e-10
via02,1,23,11,Pb,8.367497e-08,2.55673519444444e-10
