Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via02,1,0,10,SO2,0.0007188476,1.99679888888889e-06,0,0.00288158225,0,1.99679888888889e-06
via02,1,1,15,SO2,0.0007188476,2.99519833333333e-06,0,0.00288158225,0,2.99519833333333e-06
via02,1,2,5,SO2,0.0007188476,9.98399444444444e-07,1,0.00288158225,8.00439513888889e-07,1.79883895833333e-06
via02,1,3,7,SO2,0.0007188476,1.39775922222222e-06,2,0.00288158225,1.60087902777778e-06,2.99863825e-06
via02,1,4,8,SO2,0.0007188476,1.59743911111111e-06,3,0.00288158225,2.40131854166667e-06,3.99875765277778e-06
via02,1,5,11,SO2,0.0007188476,2.19647877777778e-06,8,0.00288158225,6.40351611111111e-06,8.59999488888889e-06
via02,1,6,25,SO2,0.0007188476,4.99199722222222e-06,9,0.00288158225,7.203955625e-06,1.21959528472222e-05
via02,1,7,100,SO2,0.0007188476,1.99679888888889e-05,15,0.00288158225,1.20065927083333e-05,3.19745815972222e-05
via02,1,8,143,SO2,0.0007188476,2.85542241111111e-05,14,0.00288158225,1.12061531944444e-05,3.97603773055556e-05
via02,1,9,185,SO2,0.0007188476,3.69407794444444e-05,16,0.00288158225,1.28070322222222e-05,4.97478116666667e-05
via02,1,10,198,SO2,0.0007188476,3.9536618e-05,22,0.00288158225,1.76096693055556e-05,5.71462873055556e-05
via02,1,11,162,SO2,0.0007188476,3.2348142e-05,12,0.00288158225,9.60527416666667e-06,4.19534161666667e-05
via02,1,12,149,SO2,0.0007188476,2.97523034444444e-05,9,0.00288158225,7.203955625e-06,3.69562590694444e-05
via02,1,13,122,SO2,0.0007188476,2.43609464444444e-05,7,0.00288158225,5.60307659722222e-06,2.99640230416667e-05
via02,1,14,96,SO2,0.0007188476,1.91692693333333e-05,10,0.00288158225,8.00439513888889e-06,2.71736644722222e-05
via02,1,15,85,SO2,0.0007188476,1.69727905555556e-05,12,0.00288158225,9.60527416666667e-06,2.65780647222222e-05
via02,1,16,91,SO2,0.0007188476,1.81708698888889e-05,11,0.00288158225,8.80483465277778e-06,2.69757045416667e-05
via02,1,17,156,SO2,0.0007188476,3.11500626666667e-05,15,0.00288158225,1.20065927083333e-05,4.3156655375e-05
via02,1,18,205,SO2,0.0007188476,4.09343772222222e-05,18,0.00288158225,1.440791125e-05,5.53422884722222e-05
via02,1,19,189,SO2,0.0007188476,3.7739499e-05,21,0.00288158225,1.68092297916667e-05,5.45487287916667e-05
via02,1,20,94,SO2,0.0007188476,1.87699095555556e-05,4,0.00288158225,3.20175805555556e-06,2.19716676111111e-05
via02,1,21,26,SO2,0.0007188476,5.19167711111111e-06,3,0.00288158225,2.40131854166667e-06,7.59299565277778e-06
via02,1,22,18,SO2,0.0007188476,3.594238e-06,2,0.00288158225,1.60087902777778e-06,5.19511702777778e-06
via02,1,23,11,SO2,0.0007188476,2.19647877777778e-06,1,0.00288158225,8.00439513888889e-07,2.99691829166667e-06
