Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via02,1,0,10,SO2,0.0007188476,1.99679888888889e-06
via02,1,1,15,SO2,0.0007188476,2.99519833333333e-06
via02,1,2,5,SO2,0.0007188476,9.98399444444444e-07
via02,1,3,7,SO2,0.0007188476,1.39775922222222e-06
via02,1,4,8,SO2,0.0007188476,1.59743911111111e-06
via02,1,5,11,SO2,0.0007188476,2.19647877777778e-06
via02,1,6,25,SO2,0.0007188476,4.99199722222222e-06
via02,1,7,100,SO2,0.0007188476,1.99679888888889e-05
via02,1,8,143,SO2,0.0007188476,2.85542241111111e-05
via02,1,9,185,SO2,0.0007188476,3.69407794444444e-05
via02,1,10,198,SO2,0.0007188476,3.9536618e-05
via02,1,11,162,SO2,0.0007188476,3.2348142e-05
via02,1,12,149,SO2,0.0007188476,2.97523034444444e-05
via02,1,13,122,SO2,0.0007188476,2.43609464444444e-05
via02,1,14,96,SO2,0.0007188476,1.91692693333333e-05
via02,1,15,85,SO2,0.0007188476,1.69727905555556e-05
via02,1,16,91,SO2,0.0007188476,1.81708698888889e-05
via02,1,17,156,SO2,0.0007188476,3.11500626666667e-05
via02,1,18,205,SO2,0.0007188476,4.09343772222222e-05
via02,1,19,189,SO2,0.0007188476,3.7739499e-05
via02,1,20,94,SO2,0.0007188476,1.87699095555556e-05
via02,1,21,26,SO2,0.0007188476,5.19167711111111e-06
via02,1,22,18,SO2,0.0007188476,3.594238e-06
via02,1,23,11,SO2,0.0007188476,2.19647877777778e-06
