Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via02,1,0,10,benzene,0.001226509,3.40696944444444e-06
via02,1,1,15,benzene,0.001226509,5.11045416666667e-06
via02,1,2,5,benzene,0.001226509,1.70348472222222e-06
via02,1,3,7,benzene,0.001226509,2.38487861111111e-06
via02,1,4,8,benzene,0.001226509,2.72557555555556e-06
via02,1,5,11,benzene,0.001226509,3.74766638888889e-06
via02,1,6,25,benzene,0.001226509,8.51742361111111e-06
via02,1,7,100,benzene,0.001226509,3.40696944444444e-05
via02,1,8,143,benzene,0.001226509,4.87196630555556e-05
via02,1,9,185,benzene,0.001226509,6.30289347222222e-05
via02,1,10,198,benzene,0.001226509,6.7457995e-05
via02,1,11,162,benzene,0.001226509,5.5192905e-05
via02,1,12,149,benzene,0.001226509,5.07638447222222e-05
via02,1,13,122,benzene,0.001226509,4.15650272222222e-05
via02,1,14,96,benzene,0.001226509,3.27069066666667e-05
via02,1,15,85,benzene,0.001226509,2.89592402777778e-05
via02,1,16,91,benzene,0.001226509,3.10034219444444e-05
via02,1,17,156,benzene,0.001226509,5.31487233333333e-05
via02,1,18,205,benzene,0.001226509,6.98428736111111e-05
via02,1,19,189,benzene,0.001226509,6.43917225e-05
via02,1,20,94,benzene,0.001226509,3.20255127777778e-05
via02,1,21,26,benzene,0.001226509,8.85812055555556e-06
via02,1,22,18,benzene,0.001226509,6.132545e-06
via02,1,23,11,benzene,0.001226509,3.74766638888889e-06
