Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via02,1,0,0,mp-xylene,0.001309262,0
via02,1,1,0,mp-xylene,0.001309262,0
via02,1,2,1,mp-xylene,0.001309262,3.63683888888889e-07
via02,1,3,2,mp-xylene,0.001309262,7.27367777777778e-07
via02,1,4,3,mp-xylene,0.001309262,1.09105166666667e-06
via02,1,5,8,mp-xylene,0.001309262,2.90947111111111e-06
via02,1,6,9,mp-xylene,0.001309262,3.273155e-06
via02,1,7,15,mp-xylene,0.001309262,5.45525833333333e-06
via02,1,8,14,mp-xylene,0.001309262,5.09157444444444e-06
via02,1,9,16,mp-xylene,0.001309262,5.81894222222222e-06
via02,1,10,22,mp-xylene,0.001309262,8.00104555555556e-06
via02,1,11,12,mp-xylene,0.001309262,4.36420666666667e-06
via02,1,12,9,mp-xylene,0.001309262,3.273155e-06
via02,1,13,7,mp-xylene,0.001309262,2.54578722222222e-06
via02,1,14,10,mp-xylene,0.001309262,3.63683888888889e-06
via02,1,15,12,mp-xylene,0.001309262,4.36420666666667e-06
via02,1,16,11,mp-xylene,0.001309262,4.00052277777778e-06
via02,1,17,15,mp-xylene,0.001309262,5.45525833333333e-06
via02,1,18,18,mp-xylene,0.001309262,6.54631e-06
via02,1,19,21,mp-xylene,0.001309262,7.63736166666667e-06
via02,1,20,4,mp-xylene,0.001309262,1.45473555555556e-06
via02,1,21,3,mp-xylene,0.001309262,1.09105166666667e-06
via02,1,22,2,mp-xylene,0.001309262,7.27367777777778e-07
via02,1,23,1,mp-xylene,0.001309262,3.63683888888889e-07
