Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via02,1,0,0,toluene,1.33598155e-05,0
via02,1,1,0,toluene,1.33598155e-05,0
via02,1,2,1,toluene,1.33598155e-05,3.71105986111111e-09
via02,1,3,2,toluene,1.33598155e-05,7.42211972222222e-09
via02,1,4,3,toluene,1.33598155e-05,1.11331795833333e-08
via02,1,5,8,toluene,1.33598155e-05,2.96884788888889e-08
via02,1,6,9,toluene,1.33598155e-05,3.339953875e-08
via02,1,7,15,toluene,1.33598155e-05,5.56658979166667e-08
via02,1,8,14,toluene,1.33598155e-05,5.19548380555556e-08
via02,1,9,16,toluene,1.33598155e-05,5.93769577777778e-08
via02,1,10,22,toluene,1.33598155e-05,8.16433169444444e-08
via02,1,11,12,toluene,1.33598155e-05,4.45327183333333e-08
via02,1,12,9,toluene,1.33598155e-05,3.339953875e-08
via02,1,13,7,toluene,1.33598155e-05,2.59774190277778e-08
via02,1,14,10,toluene,1.33598155e-05,3.71105986111111e-08
via02,1,15,12,toluene,1.33598155e-05,4.45327183333333e-08
via02,1,16,11,toluene,1.33598155e-05,4.08216584722222e-08
via02,1,17,15,toluene,1.33598155e-05,5.56658979166667e-08
via02,1,18,18,toluene,1.33598155e-05,6.67990775e-08
via02,1,19,21,toluene,1.33598155e-05,7.79322570833333e-08
via02,1,20,4,toluene,1.33598155e-05,1.48442394444444e-08
via02,1,21,3,toluene,1.33598155e-05,1.11331795833333e-08
via02,1,22,2,toluene,1.33598155e-05,7.42211972222222e-09
via02,1,23,1,toluene,1.33598155e-05,3.71105986111111e-09
