Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_MJ/vehicle,Heavy Vehicles_E_MJ/s
via03,1,0,0,FC,31.5124694,0
via03,1,1,0,FC,31.5124694,0
via03,1,2,1,FC,31.5124694,0.00875346372222222
via03,1,3,2,FC,31.5124694,0.0175069274444444
via03,1,4,3,FC,31.5124694,0.0262603911666667
via03,1,5,8,FC,31.5124694,0.0700277097777778
via03,1,6,9,FC,31.5124694,0.0787811735
via03,1,7,15,FC,31.5124694,0.131301955833333
via03,1,8,14,FC,31.5124694,0.122548492111111
via03,1,9,16,FC,31.5124694,0.140055419555556
via03,1,10,22,FC,31.5124694,0.192576201888889
via03,1,11,12,FC,31.5124694,0.105041564666667
via03,1,12,9,FC,31.5124694,0.0787811735
via03,1,13,7,FC,31.5124694,0.0612742460555556
via03,1,14,10,FC,31.5124694,0.0875346372222222
via03,1,15,12,FC,31.5124694,0.105041564666667
via03,1,16,11,FC,31.5124694,0.0962881009444445
via03,1,17,15,FC,31.5124694,0.131301955833333
via03,1,18,18,FC,31.5124694,0.157562347
via03,1,19,21,FC,31.5124694,0.183822738166667
via03,1,20,4,FC,31.5124694,0.0350138548888889
via03,1,21,3,FC,31.5124694,0.0262603911666667
via03,1,22,2,FC,31.5124694,0.0175069274444444
via03,1,23,1,FC,31.5124694,0.00875346372222222
