Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via03,1,0,0,NOx,9.43163015,0
via03,1,1,0,NOx,9.43163015,0
via03,1,2,1,NOx,9.43163015,0.00261989726388889
via03,1,3,2,NOx,9.43163015,0.00523979452777778
via03,1,4,3,NOx,9.43163015,0.00785969179166667
via03,1,5,8,NOx,9.43163015,0.0209591781111111
via03,1,6,9,NOx,9.43163015,0.023579075375
via03,1,7,15,NOx,9.43163015,0.0392984589583333
via03,1,8,14,NOx,9.43163015,0.0366785616944444
via03,1,9,16,NOx,9.43163015,0.0419183562222222
via03,1,10,22,NOx,9.43163015,0.0576377398055556
via03,1,11,12,NOx,9.43163015,0.0314387671666667
via03,1,12,9,NOx,9.43163015,0.023579075375
via03,1,13,7,NOx,9.43163015,0.0183392808472222
via03,1,14,10,NOx,9.43163015,0.0261989726388889
via03,1,15,12,NOx,9.43163015,0.0314387671666667
via03,1,16,11,NOx,9.43163015,0.0288188699027778
via03,1,17,15,NOx,9.43163015,0.0392984589583333
via03,1,18,18,NOx,9.43163015,0.04715815075
via03,1,19,21,NOx,9.43163015,0.0550178425416667
via03,1,20,4,NOx,9.43163015,0.0104795890555556
via03,1,21,3,NOx,9.43163015,0.00785969179166667
via03,1,22,2,NOx,9.43163015,0.00523979452777778
via03,1,23,1,NOx,9.43163015,0.00261989726388889
