Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via03,1,0,10,Ni,8.493936e-08,2.35942666666667e-10,0,1.382125735e-07,0,2.35942666666667e-10
via03,1,1,15,Ni,8.493936e-08,3.53914e-10,0,1.382125735e-07,0,3.53914e-10
via03,1,2,5,Ni,8.493936e-08,1.17971333333333e-10,1,1.382125735e-07,3.83923815277778e-11,1.56363714861111e-10
via03,1,3,7,Ni,8.493936e-08,1.65159866666667e-10,2,1.382125735e-07,7.67847630555556e-11,2.41944629722222e-10
via03,1,4,8,Ni,8.493936e-08,1.88754133333333e-10,3,1.382125735e-07,1.15177144583333e-10,3.03931277916667e-10
via03,1,5,11,Ni,8.493936e-08,2.59536933333333e-10,8,1.382125735e-07,3.07139052222222e-10,5.66675985555556e-10
via03,1,6,25,Ni,8.493936e-08,5.89856666666667e-10,9,1.382125735e-07,3.4553143375e-10,9.35388100416667e-10
via03,1,7,100,Ni,8.493936e-08,2.35942666666667e-09,15,1.382125735e-07,5.75885722916667e-10,2.93531238958333e-09
via03,1,8,143,Ni,8.493936e-08,3.37398013333333e-09,14,1.382125735e-07,5.37493341388889e-10,3.91147347472222e-09
via03,1,9,185,Ni,8.493936e-08,4.36493933333333e-09,16,1.382125735e-07,6.14278104444445e-10,4.97921743777778e-09
via03,1,10,198,Ni,8.493936e-08,4.6716648e-09,22,1.382125735e-07,8.44632393611111e-10,5.51629719361111e-09
via03,1,11,162,Ni,8.493936e-08,3.8222712e-09,12,1.382125735e-07,4.60708578333333e-10,4.28297977833333e-09
via03,1,12,149,Ni,8.493936e-08,3.51554573333333e-09,9,1.382125735e-07,3.4553143375e-10,3.86107716708333e-09
via03,1,13,122,Ni,8.493936e-08,2.87850053333333e-09,7,1.382125735e-07,2.68746670694444e-10,3.14724720402778e-09
via03,1,14,96,Ni,8.493936e-08,2.2650496e-09,10,1.382125735e-07,3.83923815277778e-10,2.64897341527778e-09
via03,1,15,85,Ni,8.493936e-08,2.00551266666667e-09,12,1.382125735e-07,4.60708578333333e-10,2.466221245e-09
via03,1,16,91,Ni,8.493936e-08,2.14707826666667e-09,11,1.382125735e-07,4.22316196805556e-10,2.56939446347222e-09
via03,1,17,156,Ni,8.493936e-08,3.6807056e-09,15,1.382125735e-07,5.75885722916667e-10,4.25659132291667e-09
via03,1,18,205,Ni,8.493936e-08,4.83682466666667e-09,18,1.382125735e-07,6.910628675e-10,5.52788753416667e-09
via03,1,19,189,Ni,8.493936e-08,4.4593164e-09,21,1.382125735e-07,8.06240012083333e-10,5.26555641208333e-09
via03,1,20,94,Ni,8.493936e-08,2.21786106666667e-09,4,1.382125735e-07,1.53569526111111e-10,2.37143059277778e-09
via03,1,21,26,Ni,8.493936e-08,6.13450933333333e-10,3,1.382125735e-07,1.15177144583333e-10,7.28628077916667e-10
via03,1,22,18,Ni,8.493936e-08,4.246968e-10,2,1.382125735e-07,7.67847630555556e-11,5.01481563055556e-10
via03,1,23,11,Ni,8.493936e-08,2.59536933333333e-10,1,1.382125735e-07,3.83923815277778e-11,2.97929314861111e-10
