Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via03,1,0,0,Ni,1.382125735e-07,0
via03,1,1,0,Ni,1.382125735e-07,0
via03,1,2,1,Ni,1.382125735e-07,3.83923815277778e-11
via03,1,3,2,Ni,1.382125735e-07,7.67847630555556e-11
via03,1,4,3,Ni,1.382125735e-07,1.15177144583333e-10
via03,1,5,8,Ni,1.382125735e-07,3.07139052222222e-10
via03,1,6,9,Ni,1.382125735e-07,3.4553143375e-10
via03,1,7,15,Ni,1.382125735e-07,5.75885722916667e-10
via03,1,8,14,Ni,1.382125735e-07,5.37493341388889e-10
via03,1,9,16,Ni,1.382125735e-07,6.14278104444445e-10
via03,1,10,22,Ni,1.382125735e-07,8.44632393611111e-10
via03,1,11,12,Ni,1.382125735e-07,4.60708578333333e-10
via03,1,12,9,Ni,1.382125735e-07,3.4553143375e-10
via03,1,13,7,Ni,1.382125735e-07,2.68746670694444e-10
via03,1,14,10,Ni,1.382125735e-07,3.83923815277778e-10
via03,1,15,12,Ni,1.382125735e-07,4.60708578333333e-10
via03,1,16,11,Ni,1.382125735e-07,4.22316196805556e-10
via03,1,17,15,Ni,1.382125735e-07,5.75885722916667e-10
via03,1,18,18,Ni,1.382125735e-07,6.910628675e-10
via03,1,19,21,Ni,1.382125735e-07,8.06240012083333e-10
via03,1,20,4,Ni,1.382125735e-07,1.53569526111111e-10
via03,1,21,3,Ni,1.382125735e-07,1.15177144583333e-10
via03,1,22,2,Ni,1.382125735e-07,7.67847630555556e-11
via03,1,23,1,Ni,1.382125735e-07,3.83923815277778e-11
