Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via03,1,0,10,Ni,8.493936e-08,2.35942666666667e-10
via03,1,1,15,Ni,8.493936e-08,3.53914e-10
via03,1,2,5,Ni,8.493936e-08,1.17971333333333e-10
via03,1,3,7,Ni,8.493936e-08,1.65159866666667e-10
via03,1,4,8,Ni,8.493936e-08,1.88754133333333e-10
via03,1,5,11,Ni,8.493936e-08,2.59536933333333e-10
via03,1,6,25,Ni,8.493936e-08,5.89856666666667e-10
via03,1,7,100,Ni,8.493936e-08,2.35942666666667e-09
via03,1,8,143,Ni,8.493936e-08,3.37398013333333e-09
via03,1,9,185,Ni,8.493936e-08,4.36493933333333e-09
via03,1,10,198,Ni,8.493936e-08,4.6716648e-09
via03,1,11,162,Ni,8.493936e-08,3.8222712e-09
via03,1,12,149,Ni,8.493936e-08,3.51554573333333e-09
via03,1,13,122,Ni,8.493936e-08,2.87850053333333e-09
via03,1,14,96,Ni,8.493936e-08,2.2650496e-09
via03,1,15,85,Ni,8.493936e-08,2.00551266666667e-09
via03,1,16,91,Ni,8.493936e-08,2.14707826666667e-09
via03,1,17,156,Ni,8.493936e-08,3.6807056e-09
via03,1,18,205,Ni,8.493936e-08,4.83682466666667e-09
via03,1,19,189,Ni,8.493936e-08,4.4593164e-09
via03,1,20,94,Ni,8.493936e-08,2.21786106666667e-09
via03,1,21,26,Ni,8.493936e-08,6.13450933333333e-10
via03,1,22,18,Ni,8.493936e-08,4.246968e-10
via03,1,23,11,Ni,8.493936e-08,2.59536933333333e-10
