Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via03,1,0,0,PCDD,4.105538e-11,0
via03,1,1,0,PCDD,4.105538e-11,0
via03,1,2,1,PCDD,4.105538e-11,1.14042722222222e-14
via03,1,3,2,PCDD,4.105538e-11,2.28085444444444e-14
via03,1,4,3,PCDD,4.105538e-11,3.42128166666667e-14
via03,1,5,8,PCDD,4.105538e-11,9.12341777777778e-14
via03,1,6,9,PCDD,4.105538e-11,1.0263845e-13
via03,1,7,15,PCDD,4.105538e-11,1.71064083333333e-13
via03,1,8,14,PCDD,4.105538e-11,1.59659811111111e-13
via03,1,9,16,PCDD,4.105538e-11,1.82468355555556e-13
via03,1,10,22,PCDD,4.105538e-11,2.50893988888889e-13
via03,1,11,12,PCDD,4.105538e-11,1.36851266666667e-13
via03,1,12,9,PCDD,4.105538e-11,1.0263845e-13
via03,1,13,7,PCDD,4.105538e-11,7.98299055555556e-14
via03,1,14,10,PCDD,4.105538e-11,1.14042722222222e-13
via03,1,15,12,PCDD,4.105538e-11,1.36851266666667e-13
via03,1,16,11,PCDD,4.105538e-11,1.25446994444444e-13
via03,1,17,15,PCDD,4.105538e-11,1.71064083333333e-13
via03,1,18,18,PCDD,4.105538e-11,2.052769e-13
via03,1,19,21,PCDD,4.105538e-11,2.39489716666667e-13
via03,1,20,4,PCDD,4.105538e-11,4.56170888888889e-14
via03,1,21,3,PCDD,4.105538e-11,3.42128166666667e-14
via03,1,22,2,PCDD,4.105538e-11,2.28085444444444e-14
via03,1,23,1,PCDD,4.105538e-11,1.14042722222222e-14
