Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via03,1,0,10,PM Brakes,0.003164696,8.79082222222222e-06,0,0.03189628,0,8.79082222222222e-06
via03,1,1,15,PM Brakes,0.003164696,1.31862333333333e-05,0,0.03189628,0,1.31862333333333e-05
via03,1,2,5,PM Brakes,0.003164696,4.39541111111111e-06,1,0.03189628,8.86007777777778e-06,1.32554888888889e-05
via03,1,3,7,PM Brakes,0.003164696,6.15357555555555e-06,2,0.03189628,1.77201555555556e-05,2.38737311111111e-05
via03,1,4,8,PM Brakes,0.003164696,7.03265777777778e-06,3,0.03189628,2.65802333333333e-05,3.36128911111111e-05
via03,1,5,11,PM Brakes,0.003164696,9.66990444444444e-06,8,0.03189628,7.08806222222222e-05,8.05505266666667e-05
via03,1,6,25,PM Brakes,0.003164696,2.19770555555556e-05,9,0.03189628,7.97407e-05,0.000101717755555556
via03,1,7,100,PM Brakes,0.003164696,8.79082222222222e-05,15,0.03189628,0.000132901166666667,0.000220809388888889
via03,1,8,143,PM Brakes,0.003164696,0.000125708757777778,14,0.03189628,0.000124041088888889,0.000249749846666667
via03,1,9,185,PM Brakes,0.003164696,0.000162630211111111,16,0.03189628,0.000141761244444444,0.000304391455555556
via03,1,10,198,PM Brakes,0.003164696,0.00017405828,22,0.03189628,0.000194921711111111,0.000368979991111111
via03,1,11,162,PM Brakes,0.003164696,0.00014241132,12,0.03189628,0.000106320933333333,0.000248732253333333
via03,1,12,149,PM Brakes,0.003164696,0.000130983251111111,9,0.03189628,7.97407e-05,0.000210723951111111
via03,1,13,122,PM Brakes,0.003164696,0.000107248031111111,7,0.03189628,6.20205444444444e-05,0.000169268575555556
via03,1,14,96,PM Brakes,0.003164696,8.43918933333333e-05,10,0.03189628,8.86007777777778e-05,0.000172992671111111
via03,1,15,85,PM Brakes,0.003164696,7.47219888888889e-05,12,0.03189628,0.000106320933333333,0.000181042922222222
via03,1,16,91,PM Brakes,0.003164696,7.99964822222222e-05,11,0.03189628,9.74608555555556e-05,0.000177457337777778
via03,1,17,156,PM Brakes,0.003164696,0.000137136826666667,15,0.03189628,0.000132901166666667,0.000270037993333333
via03,1,18,205,PM Brakes,0.003164696,0.000180211855555556,18,0.03189628,0.0001594814,0.000339693255555556
via03,1,19,189,PM Brakes,0.003164696,0.00016614654,21,0.03189628,0.000186061633333333,0.000352208173333333
via03,1,20,94,PM Brakes,0.003164696,8.26337288888889e-05,4,0.03189628,3.54403111111111e-05,0.00011807404
via03,1,21,26,PM Brakes,0.003164696,2.28561377777778e-05,3,0.03189628,2.65802333333333e-05,4.94363711111111e-05
via03,1,22,18,PM Brakes,0.003164696,1.582348e-05,2,0.03189628,1.77201555555556e-05,3.35436355555556e-05
via03,1,23,11,PM Brakes,0.003164696,9.66990444444444e-06,1,0.03189628,8.86007777777778e-06,1.85299822222222e-05
