Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via03,1,0,10,PM Brakes,0.003164696,8.79082222222222e-06
via03,1,1,15,PM Brakes,0.003164696,1.31862333333333e-05
via03,1,2,5,PM Brakes,0.003164696,4.39541111111111e-06
via03,1,3,7,PM Brakes,0.003164696,6.15357555555555e-06
via03,1,4,8,PM Brakes,0.003164696,7.03265777777778e-06
via03,1,5,11,PM Brakes,0.003164696,9.66990444444444e-06
via03,1,6,25,PM Brakes,0.003164696,2.19770555555556e-05
via03,1,7,100,PM Brakes,0.003164696,8.79082222222222e-05
via03,1,8,143,PM Brakes,0.003164696,0.000125708757777778
via03,1,9,185,PM Brakes,0.003164696,0.000162630211111111
via03,1,10,198,PM Brakes,0.003164696,0.00017405828
via03,1,11,162,PM Brakes,0.003164696,0.00014241132
via03,1,12,149,PM Brakes,0.003164696,0.000130983251111111
via03,1,13,122,PM Brakes,0.003164696,0.000107248031111111
via03,1,14,96,PM Brakes,0.003164696,8.43918933333333e-05
via03,1,15,85,PM Brakes,0.003164696,7.47219888888889e-05
via03,1,16,91,PM Brakes,0.003164696,7.99964822222222e-05
via03,1,17,156,PM Brakes,0.003164696,0.000137136826666667
via03,1,18,205,PM Brakes,0.003164696,0.000180211855555556
via03,1,19,189,PM Brakes,0.003164696,0.00016614654
via03,1,20,94,PM Brakes,0.003164696,8.26337288888889e-05
via03,1,21,26,PM Brakes,0.003164696,2.28561377777778e-05
via03,1,22,18,PM Brakes,0.003164696,1.582348e-05
via03,1,23,11,PM Brakes,0.003164696,9.66990444444444e-06
