Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via03,1,0,0,PM Road paved,0.08824908,0
via03,1,1,0,PM Road paved,0.08824908,0
via03,1,2,1,PM Road paved,0.08824908,2.45136333333333e-05
via03,1,3,2,PM Road paved,0.08824908,4.90272666666667e-05
via03,1,4,3,PM Road paved,0.08824908,7.35409e-05
via03,1,5,8,PM Road paved,0.08824908,0.000196109066666667
via03,1,6,9,PM Road paved,0.08824908,0.0002206227
via03,1,7,15,PM Road paved,0.08824908,0.0003677045
via03,1,8,14,PM Road paved,0.08824908,0.000343190866666667
via03,1,9,16,PM Road paved,0.08824908,0.000392218133333333
via03,1,10,22,PM Road paved,0.08824908,0.000539299933333333
via03,1,11,12,PM Road paved,0.08824908,0.0002941636
via03,1,12,9,PM Road paved,0.08824908,0.0002206227
via03,1,13,7,PM Road paved,0.08824908,0.000171595433333333
via03,1,14,10,PM Road paved,0.08824908,0.000245136333333333
via03,1,15,12,PM Road paved,0.08824908,0.0002941636
via03,1,16,11,PM Road paved,0.08824908,0.000269649966666667
via03,1,17,15,PM Road paved,0.08824908,0.0003677045
via03,1,18,18,PM Road paved,0.08824908,0.0004412454
via03,1,19,21,PM Road paved,0.08824908,0.0005147863
via03,1,20,4,PM Road paved,0.08824908,9.80545333333333e-05
via03,1,21,3,PM Road paved,0.08824908,7.35409e-05
via03,1,22,2,PM Road paved,0.08824908,4.90272666666667e-05
via03,1,23,1,PM Road paved,0.08824908,2.45136333333333e-05
