Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via03,1,0,10,mp-xylene,0.0009492977,2.63693805555556e-06,0,0.0014146629,0,2.63693805555556e-06
via03,1,1,15,mp-xylene,0.0009492977,3.95540708333333e-06,0,0.0014146629,0,3.95540708333333e-06
via03,1,2,5,mp-xylene,0.0009492977,1.31846902777778e-06,1,0.0014146629,3.92961916666667e-07,1.71143094444444e-06
via03,1,3,7,mp-xylene,0.0009492977,1.84585663888889e-06,2,0.0014146629,7.85923833333333e-07,2.63178047222222e-06
via03,1,4,8,mp-xylene,0.0009492977,2.10955044444444e-06,3,0.0014146629,1.17888575e-06,3.28843619444444e-06
via03,1,5,11,mp-xylene,0.0009492977,2.90063186111111e-06,8,0.0014146629,3.14369533333333e-06,6.04432719444444e-06
via03,1,6,25,mp-xylene,0.0009492977,6.59234513888889e-06,9,0.0014146629,3.53665725e-06,1.01290023888889e-05
via03,1,7,100,mp-xylene,0.0009492977,2.63693805555556e-05,15,0.0014146629,5.89442875e-06,3.22638093055556e-05
via03,1,8,143,mp-xylene,0.0009492977,3.77082141944444e-05,14,0.0014146629,5.50146683333333e-06,4.32096810277778e-05
via03,1,9,185,mp-xylene,0.0009492977,4.87833540277778e-05,16,0.0014146629,6.28739066666667e-06,5.50707446944444e-05
via03,1,10,198,mp-xylene,0.0009492977,5.22113735e-05,22,0.0014146629,8.64516216666667e-06,6.08565356666667e-05
via03,1,11,162,mp-xylene,0.0009492977,4.27183965e-05,12,0.0014146629,4.715543e-06,4.74339395e-05
via03,1,12,149,mp-xylene,0.0009492977,3.92903770277778e-05,9,0.0014146629,3.53665725e-06,4.28270342777778e-05
via03,1,13,122,mp-xylene,0.0009492977,3.21706442777778e-05,7,0.0014146629,2.75073341666667e-06,3.49213776944444e-05
via03,1,14,96,mp-xylene,0.0009492977,2.53146053333333e-05,10,0.0014146629,3.92961916666667e-06,2.92442245e-05
via03,1,15,85,mp-xylene,0.0009492977,2.24139734722222e-05,12,0.0014146629,4.715543e-06,2.71295164722222e-05
via03,1,16,91,mp-xylene,0.0009492977,2.39961363055556e-05,11,0.0014146629,4.32258108333333e-06,2.83187173888889e-05
via03,1,17,156,mp-xylene,0.0009492977,4.11362336666667e-05,15,0.0014146629,5.89442875e-06,4.70306624166667e-05
via03,1,18,205,mp-xylene,0.0009492977,5.40572301388889e-05,18,0.0014146629,7.0733145e-06,6.11305446388889e-05
via03,1,19,189,mp-xylene,0.0009492977,4.983812925e-05,21,0.0014146629,8.25220025e-06,5.80903295e-05
via03,1,20,94,mp-xylene,0.0009492977,2.47872177222222e-05,4,0.0014146629,1.57184766666667e-06,2.63590653888889e-05
via03,1,21,26,mp-xylene,0.0009492977,6.85603894444444e-06,3,0.0014146629,1.17888575e-06,8.03492469444444e-06
via03,1,22,18,mp-xylene,0.0009492977,4.7464885e-06,2,0.0014146629,7.85923833333333e-07,5.53241233333333e-06
via03,1,23,11,mp-xylene,0.0009492977,2.90063186111111e-06,1,0.0014146629,3.92961916666667e-07,3.29359377777778e-06
