Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via03,1,0,10,mp-xylene,0.0009492977,2.63693805555556e-06
via03,1,1,15,mp-xylene,0.0009492977,3.95540708333333e-06
via03,1,2,5,mp-xylene,0.0009492977,1.31846902777778e-06
via03,1,3,7,mp-xylene,0.0009492977,1.84585663888889e-06
via03,1,4,8,mp-xylene,0.0009492977,2.10955044444444e-06
via03,1,5,11,mp-xylene,0.0009492977,2.90063186111111e-06
via03,1,6,25,mp-xylene,0.0009492977,6.59234513888889e-06
via03,1,7,100,mp-xylene,0.0009492977,2.63693805555556e-05
via03,1,8,143,mp-xylene,0.0009492977,3.77082141944444e-05
via03,1,9,185,mp-xylene,0.0009492977,4.87833540277778e-05
via03,1,10,198,mp-xylene,0.0009492977,5.22113735e-05
via03,1,11,162,mp-xylene,0.0009492977,4.27183965e-05
via03,1,12,149,mp-xylene,0.0009492977,3.92903770277778e-05
via03,1,13,122,mp-xylene,0.0009492977,3.21706442777778e-05
via03,1,14,96,mp-xylene,0.0009492977,2.53146053333333e-05
via03,1,15,85,mp-xylene,0.0009492977,2.24139734722222e-05
via03,1,16,91,mp-xylene,0.0009492977,2.39961363055556e-05
via03,1,17,156,mp-xylene,0.0009492977,4.11362336666667e-05
via03,1,18,205,mp-xylene,0.0009492977,5.40572301388889e-05
via03,1,19,189,mp-xylene,0.0009492977,4.983812925e-05
via03,1,20,94,mp-xylene,0.0009492977,2.47872177222222e-05
via03,1,21,26,mp-xylene,0.0009492977,6.85603894444444e-06
via03,1,22,18,mp-xylene,0.0009492977,4.7464885e-06
via03,1,23,11,mp-xylene,0.0009492977,2.90063186111111e-06
