Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via03,1,0,10,o-xylene,0.0003978129,1.10503583333333e-06,0,0.0005774136,0,1.10503583333333e-06
via03,1,1,15,o-xylene,0.0003978129,1.65755375e-06,0,0.0005774136,0,1.65755375e-06
via03,1,2,5,o-xylene,0.0003978129,5.52517916666667e-07,1,0.0005774136,1.60392666666667e-07,7.12910583333333e-07
via03,1,3,7,o-xylene,0.0003978129,7.73525083333333e-07,2,0.0005774136,3.20785333333333e-07,1.09431041666667e-06
via03,1,4,8,o-xylene,0.0003978129,8.84028666666667e-07,3,0.0005774136,4.81178e-07,1.36520666666667e-06
via03,1,5,11,o-xylene,0.0003978129,1.21553941666667e-06,8,0.0005774136,1.28314133333333e-06,2.49868075e-06
via03,1,6,25,o-xylene,0.0003978129,2.76258958333333e-06,9,0.0005774136,1.443534e-06,4.20612358333333e-06
via03,1,7,100,o-xylene,0.0003978129,1.10503583333333e-05,15,0.0005774136,2.40589e-06,1.34562483333333e-05
via03,1,8,143,o-xylene,0.0003978129,1.58020124166667e-05,14,0.0005774136,2.24549733333333e-06,1.804750975e-05
via03,1,9,185,o-xylene,0.0003978129,2.04431629166667e-05,16,0.0005774136,2.56628266666667e-06,2.30094455833333e-05
via03,1,10,198,o-xylene,0.0003978129,2.18797095e-05,22,0.0005774136,3.52863866666667e-06,2.54083481666667e-05
via03,1,11,162,o-xylene,0.0003978129,1.79015805e-05,12,0.0005774136,1.924712e-06,1.98262925e-05
via03,1,12,149,o-xylene,0.0003978129,1.64650339166667e-05,9,0.0005774136,1.443534e-06,1.79085679166667e-05
via03,1,13,122,o-xylene,0.0003978129,1.34814371666667e-05,7,0.0005774136,1.12274866666667e-06,1.46041858333333e-05
via03,1,14,96,o-xylene,0.0003978129,1.0608344e-05,10,0.0005774136,1.60392666666667e-06,1.22122706666667e-05
via03,1,15,85,o-xylene,0.0003978129,9.39280458333333e-06,12,0.0005774136,1.924712e-06,1.13175165833333e-05
via03,1,16,91,o-xylene,0.0003978129,1.00558260833333e-05,11,0.0005774136,1.76431933333333e-06,1.18201454166667e-05
via03,1,17,156,o-xylene,0.0003978129,1.7238559e-05,15,0.0005774136,2.40589e-06,1.9644449e-05
via03,1,18,205,o-xylene,0.0003978129,2.26532345833333e-05,18,0.0005774136,2.887068e-06,2.55403025833333e-05
via03,1,19,189,o-xylene,0.0003978129,2.088517725e-05,21,0.0005774136,3.368246e-06,2.425342325e-05
via03,1,20,94,o-xylene,0.0003978129,1.03873368333333e-05,4,0.0005774136,6.41570666666667e-07,1.10289075e-05
via03,1,21,26,o-xylene,0.0003978129,2.87309316666667e-06,3,0.0005774136,4.81178e-07,3.35427116666667e-06
via03,1,22,18,o-xylene,0.0003978129,1.9890645e-06,2,0.0005774136,3.20785333333333e-07,2.30984983333333e-06
via03,1,23,11,o-xylene,0.0003978129,1.21553941666667e-06,1,0.0005774136,1.60392666666667e-07,1.37593208333333e-06
