Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via04,1,0,10,As,1.611488e-08,4.47635555555556e-11
via04,1,1,15,As,1.611488e-08,6.71453333333333e-11
via04,1,2,5,As,1.611488e-08,2.23817777777778e-11
via04,1,3,7,As,1.611488e-08,3.13344888888889e-11
via04,1,4,8,As,1.611488e-08,3.58108444444444e-11
via04,1,5,11,As,1.611488e-08,4.92399111111111e-11
via04,1,6,25,As,1.611488e-08,1.11908888888889e-10
via04,1,7,100,As,1.611488e-08,4.47635555555556e-10
via04,1,8,143,As,1.611488e-08,6.40118844444444e-10
via04,1,9,185,As,1.611488e-08,8.28125777777778e-10
via04,1,10,198,As,1.611488e-08,8.863184e-10
via04,1,11,162,As,1.611488e-08,7.251696e-10
via04,1,12,149,As,1.611488e-08,6.66976977777778e-10
via04,1,13,122,As,1.611488e-08,5.46115377777778e-10
via04,1,14,96,As,1.611488e-08,4.29730133333333e-10
via04,1,15,85,As,1.611488e-08,3.80490222222222e-10
via04,1,16,91,As,1.611488e-08,4.07348355555556e-10
via04,1,17,156,As,1.611488e-08,6.98311466666667e-10
via04,1,18,205,As,1.611488e-08,9.17652888888889e-10
via04,1,19,189,As,1.611488e-08,8.460312e-10
via04,1,20,94,As,1.611488e-08,4.20777422222222e-10
via04,1,21,26,As,1.611488e-08,1.16385244444444e-10
via04,1,22,18,As,1.611488e-08,8.05744e-11
via04,1,23,11,As,1.611488e-08,4.92399111111111e-11
