Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via04,1,0,10,CH4,0.131081,0.000364113888888889,0,3.624637,0,0.000364113888888889
via04,1,1,15,CH4,0.131081,0.000546170833333333,0,3.624637,0,0.000546170833333333
via04,1,2,5,CH4,0.131081,0.000182056944444444,1,3.624637,0.00100684361111111,0.00118890055555556
via04,1,3,7,CH4,0.131081,0.000254879722222222,2,3.624637,0.00201368722222222,0.00226856694444444
via04,1,4,8,CH4,0.131081,0.000291291111111111,3,3.624637,0.00302053083333333,0.00331182194444444
via04,1,5,11,CH4,0.131081,0.000400525277777778,8,3.624637,0.00805474888888889,0.00845527416666667
via04,1,6,25,CH4,0.131081,0.000910284722222222,9,3.624637,0.0090615925,0.00997187722222222
via04,1,7,100,CH4,0.131081,0.00364113888888889,15,3.624637,0.0151026541666667,0.0187437930555556
via04,1,8,143,CH4,0.131081,0.00520682861111111,14,3.624637,0.0140958105555556,0.0193026391666667
via04,1,9,185,CH4,0.131081,0.00673610694444444,16,3.624637,0.0161094977777778,0.0228456047222222
via04,1,10,198,CH4,0.131081,0.007209455,22,3.624637,0.0221505594444444,0.0293600144444444
via04,1,11,162,CH4,0.131081,0.005898645,12,3.624637,0.0120821233333333,0.0179807683333333
via04,1,12,149,CH4,0.131081,0.00542529694444444,9,3.624637,0.0090615925,0.0144868894444444
via04,1,13,122,CH4,0.131081,0.00444218944444444,7,3.624637,0.00704790527777778,0.0114900947222222
via04,1,14,96,CH4,0.131081,0.00349549333333333,10,3.624637,0.0100684361111111,0.0135639294444444
via04,1,15,85,CH4,0.131081,0.00309496805555556,12,3.624637,0.0120821233333333,0.0151770913888889
via04,1,16,91,CH4,0.131081,0.00331343638888889,11,3.624637,0.0110752797222222,0.0143887161111111
via04,1,17,156,CH4,0.131081,0.00568017666666667,15,3.624637,0.0151026541666667,0.0207828308333333
via04,1,18,205,CH4,0.131081,0.00746433472222222,18,3.624637,0.018123185,0.0255875197222222
via04,1,19,189,CH4,0.131081,0.0068817525,21,3.624637,0.0211437158333333,0.0280254683333333
via04,1,20,94,CH4,0.131081,0.00342267055555556,4,3.624637,0.00402737444444444,0.007450045
via04,1,21,26,CH4,0.131081,0.000946696111111111,3,3.624637,0.00302053083333333,0.00396722694444444
via04,1,22,18,CH4,0.131081,0.000655405,2,3.624637,0.00201368722222222,0.00266909222222222
via04,1,23,11,CH4,0.131081,0.000400525277777778,1,3.624637,0.00100684361111111,0.00140736888888889
