Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via04,1,0,10,CO2 fuel,297.7358,0.827043888888889
via04,1,1,15,CO2 fuel,297.7358,1.24056583333333
via04,1,2,5,CO2 fuel,297.7358,0.413521944444444
via04,1,3,7,CO2 fuel,297.7358,0.578930722222222
via04,1,4,8,CO2 fuel,297.7358,0.661635111111111
via04,1,5,11,CO2 fuel,297.7358,0.909748277777778
via04,1,6,25,CO2 fuel,297.7358,2.06760972222222
via04,1,7,100,CO2 fuel,297.7358,8.27043888888889
via04,1,8,143,CO2 fuel,297.7358,11.8267276111111
via04,1,9,185,CO2 fuel,297.7358,15.3003119444444
via04,1,10,198,CO2 fuel,297.7358,16.375469
via04,1,11,162,CO2 fuel,297.7358,13.398111
via04,1,12,149,CO2 fuel,297.7358,12.3229539444444
via04,1,13,122,CO2 fuel,297.7358,10.0899354444444
via04,1,14,96,CO2 fuel,297.7358,7.93962133333333
via04,1,15,85,CO2 fuel,297.7358,7.02987305555556
via04,1,16,91,CO2 fuel,297.7358,7.52609938888889
via04,1,17,156,CO2 fuel,297.7358,12.9018846666667
via04,1,18,205,CO2 fuel,297.7358,16.9543997222222
via04,1,19,189,CO2 fuel,297.7358,15.6311295
via04,1,20,94,CO2 fuel,297.7358,7.77421255555556
via04,1,21,26,CO2 fuel,297.7358,2.15031411111111
via04,1,22,18,CO2 fuel,297.7358,1.488679
via04,1,23,11,CO2 fuel,297.7358,0.909748277777778
