Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via04,1,0,0,CO,1.911833645,0
via04,1,1,0,CO,1.911833645,0
via04,1,2,1,CO,1.911833645,0.000531064901388889
via04,1,3,2,CO,1.911833645,0.00106212980277778
via04,1,4,3,CO,1.911833645,0.00159319470416667
via04,1,5,8,CO,1.911833645,0.00424851921111111
via04,1,6,9,CO,1.911833645,0.0047795841125
via04,1,7,15,CO,1.911833645,0.00796597352083333
via04,1,8,14,CO,1.911833645,0.00743490861944444
via04,1,9,16,CO,1.911833645,0.00849703842222222
via04,1,10,22,CO,1.911833645,0.0116834278305556
via04,1,11,12,CO,1.911833645,0.00637277881666667
via04,1,12,9,CO,1.911833645,0.0047795841125
via04,1,13,7,CO,1.911833645,0.00371745430972222
via04,1,14,10,CO,1.911833645,0.00531064901388889
via04,1,15,12,CO,1.911833645,0.00637277881666667
via04,1,16,11,CO,1.911833645,0.00584171391527778
via04,1,17,15,CO,1.911833645,0.00796597352083333
via04,1,18,18,CO,1.911833645,0.009559168225
via04,1,19,21,CO,1.911833645,0.0111523629291667
via04,1,20,4,CO,1.911833645,0.00212425960555556
via04,1,21,3,CO,1.911833645,0.00159319470416667
via04,1,22,2,CO,1.911833645,0.00106212980277778
via04,1,23,1,CO,1.911833645,0.000531064901388889
