Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_MJ/vehicle,Light Vehicles_E_MJ/s,Heavy Vehicles,Heavy Vehicles_EF_MJ/vehicle,Heavy Vehicles_E_MJ/s,EF
via04,1,0,10,FC,4.633571,0.0128710305555556,0,41.95023235,0,0.0128710305555556
via04,1,1,15,FC,4.633571,0.0193065458333333,0,41.95023235,0,0.0193065458333333
via04,1,2,5,FC,4.633571,0.00643551527777778,1,41.95023235,0.0116528423194444,0.0180883575972222
via04,1,3,7,FC,4.633571,0.00900972138888889,2,41.95023235,0.0233056846388889,0.0323154060277778
via04,1,4,8,FC,4.633571,0.0102968244444444,3,41.95023235,0.0349585269583333,0.0452553514027778
via04,1,5,11,FC,4.633571,0.0141581336111111,8,41.95023235,0.0932227385555556,0.107380872166667
via04,1,6,25,FC,4.633571,0.0321775763888889,9,41.95023235,0.104875580875,0.137053157263889
via04,1,7,100,FC,4.633571,0.128710305555556,15,41.95023235,0.174792634791667,0.303502940347222
via04,1,8,143,FC,4.633571,0.184055736944444,14,41.95023235,0.163139792472222,0.347195529416667
via04,1,9,185,FC,4.633571,0.238114065277778,16,41.95023235,0.186445477111111,0.424559542388889
via04,1,10,198,FC,4.633571,0.254846405,22,41.95023235,0.256362531027778,0.511208936027778
via04,1,11,162,FC,4.633571,0.208510695,12,41.95023235,0.139834107833333,0.348344802833333
via04,1,12,149,FC,4.633571,0.191778355277778,9,41.95023235,0.104875580875,0.296653936152778
via04,1,13,122,FC,4.633571,0.157026572777778,7,41.95023235,0.0815698962361111,0.238596469013889
via04,1,14,96,FC,4.633571,0.123561893333333,10,41.95023235,0.116528423194444,0.240090316527778
via04,1,15,85,FC,4.633571,0.109403759722222,12,41.95023235,0.139834107833333,0.249237867555556
via04,1,16,91,FC,4.633571,0.117126378055556,11,41.95023235,0.128181265513889,0.245307643569444
via04,1,17,156,FC,4.633571,0.200788076666667,15,41.95023235,0.174792634791667,0.375580711458333
via04,1,18,205,FC,4.633571,0.263856126388889,18,41.95023235,0.20975116175,0.473607288138889
via04,1,19,189,FC,4.633571,0.2432624775,21,41.95023235,0.244709688708333,0.487972166208333
via04,1,20,94,FC,4.633571,0.120987687222222,4,41.95023235,0.0466113692777778,0.1675990565
via04,1,21,26,FC,4.633571,0.0334646794444444,3,41.95023235,0.0349585269583333,0.0684232064027778
via04,1,22,18,FC,4.633571,0.023167855,2,41.95023235,0.0233056846388889,0.0464735396388889
via04,1,23,11,FC,4.633571,0.0141581336111111,1,41.95023235,0.0116528423194444,0.0258109759305556
