Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via04,1,0,10,NOx,1.104357,0.00306765833333333,0,12.8377101,0,0.00306765833333333
via04,1,1,15,NOx,1.104357,0.0046014875,0,12.8377101,0,0.0046014875
via04,1,2,5,NOx,1.104357,0.00153382916666667,1,12.8377101,0.00356603058333333,0.00509985975
via04,1,3,7,NOx,1.104357,0.00214736083333333,2,12.8377101,0.00713206116666667,0.009279422
via04,1,4,8,NOx,1.104357,0.00245412666666667,3,12.8377101,0.01069809175,0.0131522184166667
via04,1,5,11,NOx,1.104357,0.00337442416666667,8,12.8377101,0.0285282446666667,0.0319026688333333
via04,1,6,25,NOx,1.104357,0.00766914583333333,9,12.8377101,0.03209427525,0.0397634210833333
via04,1,7,100,NOx,1.104357,0.0306765833333333,15,12.8377101,0.05349045875,0.0841670420833333
via04,1,8,143,NOx,1.104357,0.0438675141666667,14,12.8377101,0.0499244281666667,0.0937919423333334
via04,1,9,185,NOx,1.104357,0.0567516791666667,16,12.8377101,0.0570564893333333,0.1138081685
via04,1,10,198,NOx,1.104357,0.060739635,22,12.8377101,0.0784526728333333,0.139192307833333
via04,1,11,162,NOx,1.104357,0.049696065,12,12.8377101,0.042792367,0.092488432
via04,1,12,149,NOx,1.104357,0.0457081091666667,9,12.8377101,0.03209427525,0.0778023844166667
via04,1,13,122,NOx,1.104357,0.0374254316666667,7,12.8377101,0.0249622140833333,0.06238764575
via04,1,14,96,NOx,1.104357,0.02944952,10,12.8377101,0.0356603058333333,0.0651098258333333
via04,1,15,85,NOx,1.104357,0.0260750958333333,12,12.8377101,0.042792367,0.0688674628333333
via04,1,16,91,NOx,1.104357,0.0279156908333333,11,12.8377101,0.0392263364166667,0.06714202725
via04,1,17,156,NOx,1.104357,0.04785547,15,12.8377101,0.05349045875,0.10134592875
via04,1,18,205,NOx,1.104357,0.0628869958333333,18,12.8377101,0.0641885505,0.127075546333333
via04,1,19,189,NOx,1.104357,0.0579787425,21,12.8377101,0.07488664225,0.13286538475
via04,1,20,94,NOx,1.104357,0.0288359883333333,4,12.8377101,0.0142641223333333,0.0431001106666667
via04,1,21,26,NOx,1.104357,0.00797591166666667,3,12.8377101,0.01069809175,0.0186740034166667
via04,1,22,18,NOx,1.104357,0.005521785,2,12.8377101,0.00713206116666667,0.0126538461666667
via04,1,23,11,NOx,1.104357,0.00337442416666667,1,12.8377101,0.00356603058333333,0.00694045475
