Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via04,1,0,10,PCDD,1.02009e-11,2.83358333333333e-14
via04,1,1,15,PCDD,1.02009e-11,4.250375e-14
via04,1,2,5,PCDD,1.02009e-11,1.41679166666667e-14
via04,1,3,7,PCDD,1.02009e-11,1.98350833333333e-14
via04,1,4,8,PCDD,1.02009e-11,2.26686666666667e-14
via04,1,5,11,PCDD,1.02009e-11,3.11694166666667e-14
via04,1,6,25,PCDD,1.02009e-11,7.08395833333333e-14
via04,1,7,100,PCDD,1.02009e-11,2.83358333333333e-13
via04,1,8,143,PCDD,1.02009e-11,4.05202416666667e-13
via04,1,9,185,PCDD,1.02009e-11,5.24212916666667e-13
via04,1,10,198,PCDD,1.02009e-11,5.610495e-13
via04,1,11,162,PCDD,1.02009e-11,4.590405e-13
via04,1,12,149,PCDD,1.02009e-11,4.22203916666667e-13
via04,1,13,122,PCDD,1.02009e-11,3.45697166666667e-13
via04,1,14,96,PCDD,1.02009e-11,2.72024e-13
via04,1,15,85,PCDD,1.02009e-11,2.40854583333333e-13
via04,1,16,91,PCDD,1.02009e-11,2.57856083333333e-13
via04,1,17,156,PCDD,1.02009e-11,4.42039e-13
via04,1,18,205,PCDD,1.02009e-11,5.80884583333333e-13
via04,1,19,189,PCDD,1.02009e-11,5.3554725e-13
via04,1,20,94,PCDD,1.02009e-11,2.66356833333333e-13
via04,1,21,26,PCDD,1.02009e-11,7.36731666666667e-14
via04,1,22,18,PCDD,1.02009e-11,5.10045e-14
via04,1,23,11,PCDD,1.02009e-11,3.11694166666667e-14
