Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via04,1,0,0,PCDF,6.239639e-11,0
via04,1,1,0,PCDF,6.239639e-11,0
via04,1,2,1,PCDF,6.239639e-11,1.73323305555556e-14
via04,1,3,2,PCDF,6.239639e-11,3.46646611111111e-14
via04,1,4,3,PCDF,6.239639e-11,5.19969916666667e-14
via04,1,5,8,PCDF,6.239639e-11,1.38658644444444e-13
via04,1,6,9,PCDF,6.239639e-11,1.55990975e-13
via04,1,7,15,PCDF,6.239639e-11,2.59984958333333e-13
via04,1,8,14,PCDF,6.239639e-11,2.42652627777778e-13
via04,1,9,16,PCDF,6.239639e-11,2.77317288888889e-13
via04,1,10,22,PCDF,6.239639e-11,3.81311272222222e-13
via04,1,11,12,PCDF,6.239639e-11,2.07987966666667e-13
via04,1,12,9,PCDF,6.239639e-11,1.55990975e-13
via04,1,13,7,PCDF,6.239639e-11,1.21326313888889e-13
via04,1,14,10,PCDF,6.239639e-11,1.73323305555556e-13
via04,1,15,12,PCDF,6.239639e-11,2.07987966666667e-13
via04,1,16,11,PCDF,6.239639e-11,1.90655636111111e-13
via04,1,17,15,PCDF,6.239639e-11,2.59984958333333e-13
via04,1,18,18,PCDF,6.239639e-11,3.1198195e-13
via04,1,19,21,PCDF,6.239639e-11,3.63978941666667e-13
via04,1,20,4,PCDF,6.239639e-11,6.93293222222222e-14
via04,1,21,3,PCDF,6.239639e-11,5.19969916666667e-14
via04,1,22,2,PCDF,6.239639e-11,3.46646611111111e-14
via04,1,23,1,PCDF,6.239639e-11,1.73323305555556e-14
