Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via04,1,0,0,PM Exhaust,0.07213255,0
via04,1,1,0,PM Exhaust,0.07213255,0
via04,1,2,1,PM Exhaust,0.07213255,2.00368194444444e-05
via04,1,3,2,PM Exhaust,0.07213255,4.00736388888889e-05
via04,1,4,3,PM Exhaust,0.07213255,6.01104583333333e-05
via04,1,5,8,PM Exhaust,0.07213255,0.000160294555555556
via04,1,6,9,PM Exhaust,0.07213255,0.000180331375
via04,1,7,15,PM Exhaust,0.07213255,0.000300552291666667
via04,1,8,14,PM Exhaust,0.07213255,0.000280515472222222
via04,1,9,16,PM Exhaust,0.07213255,0.000320589111111111
via04,1,10,22,PM Exhaust,0.07213255,0.000440810027777778
via04,1,11,12,PM Exhaust,0.07213255,0.000240441833333333
via04,1,12,9,PM Exhaust,0.07213255,0.000180331375
via04,1,13,7,PM Exhaust,0.07213255,0.000140257736111111
via04,1,14,10,PM Exhaust,0.07213255,0.000200368194444444
via04,1,15,12,PM Exhaust,0.07213255,0.000240441833333333
via04,1,16,11,PM Exhaust,0.07213255,0.000220405013888889
via04,1,17,15,PM Exhaust,0.07213255,0.000300552291666667
via04,1,18,18,PM Exhaust,0.07213255,0.00036066275
via04,1,19,21,PM Exhaust,0.07213255,0.000420773208333333
via04,1,20,4,PM Exhaust,0.07213255,8.01472777777778e-05
via04,1,21,3,PM Exhaust,0.07213255,6.01104583333333e-05
via04,1,22,2,PM Exhaust,0.07213255,4.00736388888889e-05
via04,1,23,1,PM Exhaust,0.07213255,2.00368194444444e-05
