Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s
via04,1,0,10,PM Tyres,0.009012188,2.50338555555556e-05
via04,1,1,15,PM Tyres,0.009012188,3.75507833333333e-05
via04,1,2,5,PM Tyres,0.009012188,1.25169277777778e-05
via04,1,3,7,PM Tyres,0.009012188,1.75236988888889e-05
via04,1,4,8,PM Tyres,0.009012188,2.00270844444444e-05
via04,1,5,11,PM Tyres,0.009012188,2.75372411111111e-05
via04,1,6,25,PM Tyres,0.009012188,6.25846388888889e-05
via04,1,7,100,PM Tyres,0.009012188,0.000250338555555556
via04,1,8,143,PM Tyres,0.009012188,0.000357984134444445
via04,1,9,185,PM Tyres,0.009012188,0.000463126327777778
via04,1,10,198,PM Tyres,0.009012188,0.00049567034
via04,1,11,162,PM Tyres,0.009012188,0.00040554846
via04,1,12,149,PM Tyres,0.009012188,0.000373004447777778
via04,1,13,122,PM Tyres,0.009012188,0.000305413037777778
via04,1,14,96,PM Tyres,0.009012188,0.000240325013333333
via04,1,15,85,PM Tyres,0.009012188,0.000212787772222222
via04,1,16,91,PM Tyres,0.009012188,0.000227808085555556
via04,1,17,156,PM Tyres,0.009012188,0.000390528146666667
via04,1,18,205,PM Tyres,0.009012188,0.000513194038888889
via04,1,19,189,PM Tyres,0.009012188,0.00047313987
via04,1,20,94,PM Tyres,0.009012188,0.000235318242222222
via04,1,21,26,PM Tyres,0.009012188,6.50880244444445e-05
via04,1,22,18,PM Tyres,0.009012188,4.506094e-05
via04,1,23,11,PM Tyres,0.009012188,2.75372411111111e-05
