Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_g/vehicle,Light Vehicles_E_g/s,Heavy Vehicles,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s,EF
via04,1,0,10,Pb,8.367497e-08,2.32430472222222e-10,0,4.59980619e-07,0,2.32430472222222e-10
via04,1,1,15,Pb,8.367497e-08,3.48645708333333e-10,0,4.59980619e-07,0,3.48645708333333e-10
via04,1,2,5,Pb,8.367497e-08,1.16215236111111e-10,1,4.59980619e-07,1.27772394166667e-10,2.43987630277778e-10
via04,1,3,7,Pb,8.367497e-08,1.62701330555556e-10,2,4.59980619e-07,2.55544788333333e-10,4.18246118888889e-10
via04,1,4,8,Pb,8.367497e-08,1.85944377777778e-10,3,4.59980619e-07,3.833171825e-10,5.69261560277778e-10
via04,1,5,11,Pb,8.367497e-08,2.55673519444444e-10,8,4.59980619e-07,1.02217915333333e-09,1.27785267277778e-09
via04,1,6,25,Pb,8.367497e-08,5.81076180555555e-10,9,4.59980619e-07,1.1499515475e-09,1.73102772805556e-09
via04,1,7,100,Pb,8.367497e-08,2.32430472222222e-09,15,4.59980619e-07,1.9165859125e-09,4.24089063472222e-09
via04,1,8,143,Pb,8.367497e-08,3.32375575277778e-09,14,4.59980619e-07,1.78881351833333e-09,5.11256927111111e-09
via04,1,9,185,Pb,8.367497e-08,4.29996373611111e-09,16,4.59980619e-07,2.04435830666667e-09,6.34432204277778e-09
via04,1,10,198,Pb,8.367497e-08,4.60212335e-09,22,4.59980619e-07,2.81099267166667e-09,7.41311602166667e-09
via04,1,11,162,Pb,8.367497e-08,3.76537365e-09,12,4.59980619e-07,1.53326873e-09,5.29864238e-09
via04,1,12,149,Pb,8.367497e-08,3.46321403611111e-09,9,4.59980619e-07,1.1499515475e-09,4.61316558361111e-09
via04,1,13,122,Pb,8.367497e-08,2.83565176111111e-09,7,4.59980619e-07,8.94406759166667e-10,3.73005852027778e-09
via04,1,14,96,Pb,8.367497e-08,2.23133253333333e-09,10,4.59980619e-07,1.27772394166667e-09,3.509056475e-09
via04,1,15,85,Pb,8.367497e-08,1.97565901388889e-09,12,4.59980619e-07,1.53326873e-09,3.50892774388889e-09
via04,1,16,91,Pb,8.367497e-08,2.11511729722222e-09,11,4.59980619e-07,1.40549633583333e-09,3.52061363305556e-09
via04,1,17,156,Pb,8.367497e-08,3.62591536666667e-09,15,4.59980619e-07,1.9165859125e-09,5.54250127916667e-09
via04,1,18,205,Pb,8.367497e-08,4.76482468055556e-09,18,4.59980619e-07,2.299903095e-09,7.06472777555556e-09
via04,1,19,189,Pb,8.367497e-08,4.392935925e-09,21,4.59980619e-07,2.6832202775e-09,7.0761562025e-09
via04,1,20,94,Pb,8.367497e-08,2.18484643888889e-09,4,4.59980619e-07,5.11089576666667e-10,2.69593601555556e-09
via04,1,21,26,Pb,8.367497e-08,6.04319227777778e-10,3,4.59980619e-07,3.833171825e-10,9.87636410277778e-10
via04,1,22,18,Pb,8.367497e-08,4.1837485e-10,2,4.59980619e-07,2.55544788333333e-10,6.73919638333333e-10
via04,1,23,11,Pb,8.367497e-08,2.55673519444444e-10,1,4.59980619e-07,1.27772394166667e-10,3.83445913611111e-10
