Roadway,IntegrationTime,Hour,Heavy Vehicles,Pollutant,Heavy Vehicles_EF_g/vehicle,Heavy Vehicles_E_g/s
via04,1,0,0,Pb,4.59980619e-07,0
via04,1,1,0,Pb,4.59980619e-07,0
via04,1,2,1,Pb,4.59980619e-07,1.27772394166667e-10
via04,1,3,2,Pb,4.59980619e-07,2.55544788333333e-10
via04,1,4,3,Pb,4.59980619e-07,3.833171825e-10
via04,1,5,8,Pb,4.59980619e-07,1.02217915333333e-09
via04,1,6,9,Pb,4.59980619e-07,1.1499515475e-09
via04,1,7,15,Pb,4.59980619e-07,1.9165859125e-09
via04,1,8,14,Pb,4.59980619e-07,1.78881351833333e-09
via04,1,9,16,Pb,4.59980619e-07,2.04435830666667e-09
via04,1,10,22,Pb,4.59980619e-07,2.81099267166667e-09
via04,1,11,12,Pb,4.59980619e-07,1.53326873e-09
via04,1,12,9,Pb,4.59980619e-07,1.1499515475e-09
via04,1,13,7,Pb,4.59980619e-07,8.94406759166667e-10
via04,1,14,10,Pb,4.59980619e-07,1.27772394166667e-09
via04,1,15,12,Pb,4.59980619e-07,1.53326873e-09
via04,1,16,11,Pb,4.59980619e-07,1.40549633583333e-09
via04,1,17,15,Pb,4.59980619e-07,1.9165859125e-09
via04,1,18,18,Pb,4.59980619e-07,2.299903095e-09
via04,1,19,21,Pb,4.59980619e-07,2.6832202775e-09
via04,1,20,4,Pb,4.59980619e-07,5.11089576666667e-10
via04,1,21,3,Pb,4.59980619e-07,3.833171825e-10
via04,1,22,2,Pb,4.59980619e-07,2.55544788333333e-10
via04,1,23,1,Pb,4.59980619e-07,1.27772394166667e-10
